"","Text","Cluster"
"162","THE_CLAYHANGER_noWikiID","Cluster 3"
"163","PETER_THE_WHALER_noWikiID","Cluster 3"
"164","MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC_Q6785376","Cluster 3"
"165","AYESHA_(NOVEL)_Q2604590","Cluster 4"
"166","DRACULA_Q41542","Cluster 3"
"167","BLIND_LOVE_noWikiID","Cluster 4"
"168","THE_MYSTERY_OF_A_HANSOM_CAB_noWikiID","Cluster 4"
"169","DEMOS_noWikiID","Cluster 1"
"170","THYRZA_noWikiID","Cluster 2"
"171","THE_TAILOR_OF_GLOUCESTER_noWikiID","Cluster 4"
"172","THE_TALE_OF_PETER_RABBIT_Q580463","Cluster 3"
"173","NOUGHTS_&_CROSSES_noWikiID","Cluster 3"
"174","THE_MARTIAN_noWikiID","Cluster 4"
"175","THE_FORTUNES_OF_NIGEL_Q3230799","Cluster 3"
"176","ROB_ROY_Q2156104","Cluster 2"
"177","ROBINSON_CRUSOE_Q483034","Cluster 2"
"178","HISTORY_OF_JOHN_BULL_noWikiID","Cluster 2"
"179","PHILISTIA_noWikiID","Cluster 4"
"180","EXILUS_noWikiID","Cluster 3"
"181","A_TALE_OF_A_TUB_Q2353123","Cluster 2"
"182","THE_DOCTOR'S_WIFE_(MOORE_NOVEL)_Q7730467","Cluster 3"
"183","ORLEY_FARM_(NOVEL)_Q16962094","Cluster 1"
"184","THE_MILL_ON_THE_FLOSS_Q1215018","Cluster 2"
"185","MAX_noWikiID","Cluster 4"
"186","PAMELA_OR_VIRTUE_REWARDED_Q2048624","Cluster 1"
"187","JOSEPH_ANDREWS_Q784226","Cluster 2"
"188","WAVERLEY_Q678251","Cluster 2"
"189","GUY_MANNERING_Q2288976","Cluster 2"
"190","THE_MUMMER'S_WIFE_Q42186018","Cluster 2"
"191","THE_SCOTTISH_CHIEFS_noWikiID","Cluster 3"
"192","THE_ASPERN_PAPERS_Q2362409","Cluster 4"
"193","THE_ANTI-PAMELA_Q7713932","Cluster 2"
"194","THE_REFORM'D_COQUET_Q7760024","Cluster 3"
"195","FANTOMINA_Q5434405","Cluster 4"
"196","THE_TRAIL_OF_THE_SERPENT_Q24971199","Cluster 4"
"197","THE_KING_AND_QUEEN_OF_HEARTS_noWikiID","Cluster 3"
"198","RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER_noWikiID","Cluster 4"
"199","THE_WOMAN_IN_WHITE_(NOVEL)_Q1212672","Cluster 3"
"200","THE_ADVENTURES_OF_HUGH_TREVOR_noWikiID","Cluster 3"
"201","THE_LANDLEAGUERS_noWikiID","Cluster 2"
"202","SECRESY_noWikiID","Cluster 3"
"203","ST_LEON_Q7589523","Cluster 2"
"204","THE_BATTLE_OF_THE_BOOKS_Q7715895","Cluster 2"
"205","THE_FAIR_JILT_Q18393398","Cluster 2"
"206","VERTUE_REWARDED_Q104811485","Cluster 2"
"207","OROONOKO_Q2453934","Cluster 2"
"208","THE_AMERICAN_Q3080503","Cluster 2"
"209","RECORDS_OF_A_GIRLHOOD_noWikiID","Cluster 3"
"210","CAPTAIN_SINGLETON_Q1728631","Cluster 3"
"211","MEMOIRS_OF_A_CAVALIER_Q6815274","Cluster 3"
"212","A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792","Cluster 4"
"213","THE_MAN_WHO_COULD_WORK_MIRACLES_(SHORT_STORY)_Q7749926","Cluster 4"
"214","THE_INVISIBLE_MAN_Q1539509","Cluster 4"
"215","PLATTNER_STORY_noWikiID","Cluster 2"
"216","THE_PARASITE_Q5295669","Cluster 4"
"217","CONINGSBY_Q5161083","Cluster 3"
"218","THE_PROVOST_noWikiID","Cluster 4"
"219","THE_AYRSHIRE_LEGATEES_noWikiID","Cluster 4"
"220","WINTER_EVENING_TALES_Q96415343","Cluster 4"
"221","THE_SILVERADO_SQUATTERS_noWikiID","Cluster 3"
"222","A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS_noWikiID","Cluster 4"
"223","THE_SMALL_HOUSE_AT_ALLINGTON_Q7764868","Cluster 2"
"224","THE_LIFE_AND_OPINIONS_OF_TRISTRAM_SHANDY_GENTLEMAN_Q1164083","Cluster 4"
"225","EREWHON_Q1350048","Cluster 3"
"226","ESTHER_noWikiID","Cluster 3"
"227","THE_WOODLANDERS_Q2254480","Cluster 3"
"228","THREE_WEEKS_noWikiID","Cluster 4"
"229","CAPTAINS_COURAGEOUS_Q1035138","Cluster 4"
"230","THE_EBB-TIDE_Q4674957","Cluster 3"
"231","CLEG_KELLY_noWikiID","Cluster 4"
"232","THE_ANTIQUARY_Q1157183","Cluster 3"
"233","THE_HEROINE_noWikiID","Cluster 2"
"234","THE_JUNGLE_BOOK_Q189509","Cluster 4"
"235","LIFE_AND_ADVENTURES_OF_PETER_WILKINS_noWikiID","Cluster 3"
"236","THE_MAN_WHO_WOULD_BE_KING_Q1129936","Cluster 4"
"237","PRINCE_RICARDO_OF_PANTOUFLIA_noWikiID","Cluster 4"
"238","THE_YOUNG_DUKE_Q45028402","Cluster 2"
"239","VIVIAN_GREY_Q7937713","Cluster 2"
"240","THE_LAST_MAN_noWikiID","Cluster 2"
"241","MR_MIDSHIPMAN_EASY_Q1936382","Cluster 4"
"242","HOLIDAY_HOUSE_noWikiID","Cluster 4"
"243","SILAS_MARNER_Q638327","Cluster 4"
"244","ADAM_BEDE_Q2611046","Cluster 3"
"245","LITTLE_DORRIT_Q565638","Cluster 1"
"246","JACK_SHEPPARD_noWikiID","Cluster 2"
"247","CONFESSIONS_OF_A_YOUNG_MAN_Q5160039","Cluster 3"
"248","A_DRAMA_IN_MUSLIN_noWikiID","Cluster 3"
"249","THE_CANTERVILLE_GHOST_Q288020","Cluster 3"
"250","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY_Q1588738","Cluster 3"
"251","A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID","Cluster 3"
"252","LOVE_INTRIGUES_noWikiID","Cluster 3"
"253","THE_WOULDBEGOODS_noWikiID","Cluster 3"
"254","NORTHANGER_ABBEY_Q477508","Cluster 4"
"255","PERSUASION_(NOVEL)_Q333179","Cluster 4"
"256","STALKY_&_CO._Q4439259","Cluster 4"
"257","OLIVER_TWIST_Q164974","Cluster 1"
"258","ON_THE_FACE_OF_THE_WATERS_Q59151630","Cluster 3"
"259","MARIUS_THE_EPICUREAN_Q5477441","Cluster 4"
"260","THE_OLD_CURIOSITY_SHOP_Q2700616","Cluster 2"
"261","THE_TALISMAN_(SCOTT_NOVEL)_Q952340","Cluster 3"
"262","IVANHOE_Q840974","Cluster 3"
"263","KENILWORTH_Q2600597","Cluster 3"
"264","WIVES_AND_DAUGHTERS_Q2453239","Cluster 1"
"265","THE_SHADOW_OF_ASHLYDYAT_noWikiID","Cluster 1"
"266","A_CRYSTAL_AGE_Q4656205","Cluster 4"
"267","ALL_SORTS_AND_CONDITIONS_OF_MEN_noWikiID","Cluster 1"
"268","THE_PICKWICK_PAPERS_Q460583","Cluster 1"
"269","THE_HAUNTED_MAN_AND_THE_GHOST'S_BARGAIN_Q3795070","Cluster 4"
"270","WUTHERING_HEIGHTS_Q202975","Cluster 3"
"271","THE_ISLAND_OF_DOCTOR_MOREAU_Q718268","Cluster 3"
"272","DR_JEKYLL_AND_MR_HYDE_Q217352","Cluster 4"
"273","THE_DYNAMITER_noWikiID","Cluster 3"
"274","OUR_VILLAGE_Q7111226","Cluster 4"
"275","THE_FAIRCHILD_FAMILY_noWikiID","Cluster 4"
"276","NIGHTMARE_ABBEY_Q4054406","Cluster 4"
"277","THE_HILL_noWikiID","Cluster 4"
"278","THE_HISTORY_OF_JACK_CONNOR_noWikiID","Cluster 3"
"279","THE_VICAR_OF_WREXHILL_noWikiID","Cluster 1"
"280","CATHERINE,_A_STORY_noWikiID","Cluster 4"
"281","JORROCK'S_JAUNTS_AND_JOLLITIES_noWikiID","Cluster 4"
"282","HIDE_AND_SEEK_noWikiID","Cluster 2"
"283","THE_PHANTOM_COACH_noWikiID","Cluster 4"
"284","ROMOLA_Q7363279","Cluster 4"
"285","THE_CARVED_LIONS_Q7721468","Cluster 4"
"286","THE_RECOLLECTIONS_OF_GEOFFREY_HAMLYN_Q121356927","Cluster 3"
"287","WESTWARD_HO_noWikiID","Cluster 3"
"288","THE_YOUNG_FUR_TRADERS_noWikiID","Cluster 3"
"289","THE_WORLD_SET_FREE_Q5051290","Cluster 4"
"290","YEAST_noWikiID","Cluster 3"
"291","THE_NEW_MACHIAVELLI_Q10381652","Cluster 3"
"292","THE_WAR_IN_THE_AIR_Q964055","Cluster 3"
"293","A_BELEAGUERED_CITY_noWikiID","Cluster 4"
"294","THE_BEETLE_(NOVEL)_Q7716299","Cluster 3"
"295","COELEBS_IN_SEARCH_OF_A_WIFE_Q5140605","Cluster 4"
"296","SELF-CONTROL_(NOVEL)_Q3478102","Cluster 1"
"297","TALES_OF_FASHIONABLE_LIFE_noWikiID","Cluster 1"
"298","THE_MOONSTONE_Q2362563","Cluster 3"
"299","ARMADALE_Q4792516","Cluster 2"
"300","THE_PROFESSOR_(NOVEL)_Q762203","Cluster 4"
"301","SUSPIRIA_DE_PROFUNDIS_Q3978307","Cluster 4"
