title;wikiname;1794_Manchester;1809_Storry;1829_Hookham_novels-romances;1873_Mudies;1907_Mudies;sum_libraries;binary;best_match_circl;circl
fanny hill;FANNY_HILL;0;0;0;0;0;0;0;fanny hill;1
"fantomina; or, love in a maze";FANTOMINA;0;0;0;0;0;0;0;"fantomina; or, love in a maze";1
far from the madding crowd;FAR_FROM_THE_MADDING_CROWD;0;0;0;0;1;1;1;far from the madding crowd;1
fardorougha the miser;FARDOROUGHA_THE_MISER;0;0;0;0;1;1;1;fardorougha the miser;1
felix holt, the radical;FELIX_HOLT_THE_RADICAL;0;0;0;1;1;2;1;felix holt, the radical;1
NA;FIVE_CHILDREN_AND_IT;0;0;0;0;1;1;1;NA;0
NA;FLATLAND;0;0;0;0;0;0;0;NA;0
NA;FOR_THE_TERM_OF_HIS_NATURAL_LIFE;0;0;0;0;1;1;1;NA;0
NA;FORTUNATE_FOUNDLINGS;0;1;0;0;0;1;1;NA;0
"frankenstein; or, the modern prometheus";FRANKENSTEIN;0;0;0;0;1;1;1;"frankenstein; or, the modern prometheus";1
NA;GHETTO_TRAGEDIES;0;0;0;0;1;1;1;NA;0
glenarvon;GLENARVON;0;0;1;0;0;1;1;glenarvon;1
going to maynooth;GOING_TO_MAYNOOTH;0;0;0;0;1;1;1;going to maynooth;1
NA;GRANNY'S_WONDERFUL_CHAIR;0;0;0;0;0;0;0;NA;0
great expectations;GREAT_EXPECTATIONS;0;0;0;1;1;2;1;great expectations;1
gulliver's travels;GULLIVER'S_TRAVELS;0;1;0;1;1;3;1;gulliver's travels;1
guy mannering;GUY_MANNERING;0;0;0;1;1;2;1;guy mannering;1
NA;HALF_A_LIFE-TIME_AGO;0;0;0;0;0;0;0;NA;0
hard cash;HARD_CASH_(NOVEL);0;0;0;1;1;2;1;hard cash;1
NA;HARD_TIMES_(NOVEL);0;0;0;0;1;1;1;NA;0
harrington;HARRINGTON;0;0;1;0;1;2;1;harrington;1
hauntings;HAUNTINGS;0;0;0;0;1;1;1;hauntings;1
NA;HE_KNEW_HE_WAS_RIGHT;0;0;0;1;1;2;1;NA;0
headlong hall;HEADLONG_HALL;0;0;1;0;1;2;1;headlong hall;1
NA;HEART_AND_SCIENCE;0;0;0;0;1;1;1;NA;0
heart of darkness;HEART_OF_DARKNESS;0;0;0;0;0;0;0;heart of darkness;1
NA;HELBECK_OF_BANNISDALE;0;0;0;0;1;1;1;NA;0
helen;HELEN;0;0;0;0;1;1;1;helen;1
NA;HENRY_DUNBAR;0;0;0;0;1;1;1;NA;0
NA;HEREWARD_THE_WAKE_(NOVEL);0;0;0;0;1;1;1;NA;0
NA;HERMSPRONG;0;0;0;0;0;0;0;NA;0
hester;HESTER;0;0;0;0;1;1;1;hester;1
NA;HIDE_AND_SEEK;0;0;1;0;1;2;1;NA;0
NA;HISTORY_OF_JOHN_BULL;0;0;0;0;0;0;0;NA;0
NA;HOLIDAY_HOUSE;0;0;0;0;0;0;0;NA;0
howards end;HOWARDS_END;0;0;0;0;0;0;0;howards end;1
NA;HYMNS_IN_PROSE_FOR_CHILDREN;0;0;0;0;0;0;0;NA;0
NA;IMAGINARY_PORTRAITS;0;0;0;0;0;0;0;NA;0
NA;IMPRESSIONS_OF_THEOPHRASTUS_SUCH;0;0;0;0;0;0;0;NA;0
NA;IN_A_GLASS_DARKLY;0;0;0;0;1;1;1;NA;0
in the year of jubilee;IN_THE_YEAR_OF_JUBILEE;0;0;0;0;1;1;1;in the year of jubilee;1
it is never too late to mend;IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);0;0;0;1;1;2;1;it is never too late to mend;1
ivanhoe;IVANHOE;0;0;0;1;1;2;1;ivanhoe;1
NA;JACK_SHEPPARD;0;0;0;0;0;0;0;NA;0
jane eyre: an autobiography;JANE_EYRE;0;0;0;1;1;2;1;jane eyre: an autobiography;1
jessica's first prayer;JESSICA'S_FIRST_PRAYER;0;0;0;0;1;1;1;jessica's first prayer;1
NA;JEZEBEL'S_DAUGHTER;0;0;0;0;1;1;1;NA;0
john burnet of barns: a romance;JOHN_BURNET_OF_BARNS;0;0;0;0;1;1;1;john burnet of barns: a romance;1
john halifax, gentleman;JOHN_HALIFAX_GENTLEMAN;0;0;0;1;1;2;1;john halifax, gentleman;1
the history of the life of the late mr. jonathan wild the great;JONATHAN_WILD;0;0;0;0;1;1;1;the history of the life of the late mr. jonathan wild the great;1
jorrock's jaunts and jollities;JORROCK'S_JAUNTS_AND_JOLLITIES;0;0;0;0;1;1;1;jorrock's jaunts and jollities;1
joseph andrews;JOSEPH_ANDREWS;0;0;1;0;1;2;1;joseph andrews;1
jude the obscure;JUDE_THE_OBSCURE;0;0;0;0;1;1;1;jude the obscure;1
NA;JUST_SO_STORIES;0;0;0;0;1;1;1;NA;0
kenilworth;KENILWORTH;0;0;0;1;1;2;1;kenilworth;1
kidnapped;KIDNAPPED_(NOVEL);0;0;0;0;1;1;1;kidnapped;1
kim;KIM_(NOVEL);0;0;0;0;1;1;1;kim;1
king solomon's mines;KING_SOLOMON'S_MINES;0;0;0;0;1;1;1;king solomon's mines;1
kipps;KIPPS;0;0;0;0;1;1;1;kipps;1
knockagow;KNOCKNAGOW;0;0;0;0;0;0;0;knockagow;1
lady audley's secret;LADY_AUDLEY'S_SECRET;0;0;0;1;1;2;1;lady audley's secret;1
NA;LEVER'S_LORD_KILGOBBIN;0;0;0;1;1;2;1;NA;0
liber amoris;LIBER_AMORIS;0;0;1;0;0;1;1;liber amoris;1
NA;LIFE_AND_ADVENTURES_OF_PETER_WILKINS;0;0;0;0;0;0;0;NA;0
NA;LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;0;0;0;0;0;0;0;NA;0
NA;LIFE'S_LITTLE_IRONIES;0;0;0;0;1;1;1;NA;0
lilith;LILITH;0;0;0;0;1;1;1;lilith;1
little dorrit;LITTLE_DORRIT;0;0;0;1;1;2;1;little dorrit;1
NA;LITTLE_LORD_FAUNTLEROY;0;0;0;0;1;1;1;NA;0
NA;LONGSWORD_(NOVEL);0;0;0;0;0;0;0;NA;0
lord jim;LORD_JIM;0;0;0;0;1;1;1;lord jim;1
lorna doone, a romance of exmoor;LORNA_DOONE;0;0;0;1;1;2;1;lorna doone, a romance of exmoor;1
loss and gain: the story of a convert;LOSS_AND_GAIN;0;0;0;0;0;0;0;loss and gain: the story of a convert;1
NA;LOST_DIARIES;0;0;0;0;0;0;0;NA;0
NA;LOVE_AMONG_THE_RUINS;0;0;0;0;1;1;1;NA;0
NA;LOVE_AND_MADNESS;0;0;0;0;0;0;0;NA;0
love and mr lewisham;LOVE_AND_MR_LEWISHAM;0;0;0;0;1;1;1;love and mr lewisham;1
NA;"LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY";0;0;0;0;0;0;0;NA;0
love intrigues: or, the history of the amours of bosvil and galesia;LOVE_INTRIGUES;0;0;0;0;0;0;0;love intrigues: or, the history of the amours of bosvil and galesia;1
NA;MADAM_HOW_AND_LADY_WHY;0;0;0;0;0;0;0;NA;0
man and wife;MAN_AND_WIFE_(NOVEL);0;0;0;1;1;2;1;man and wife;1
mansfield park;MANSFIELD_PARK;0;0;1;1;1;3;1;mansfield park;1
NA;MARIA_OR_THE_WRONGS_OF_WOMAN;0;0;0;0;0;0;0;NA;0
NA;MARIUS_THE_EPICUREAN;0;0;0;0;1;1;1;NA;0
marriage;MARRIAGE;0;0;1;1;1;3;1;marriage;1
the life and adventures of martin chuzzlewit;MARTIN_CHUZZLEWIT;0;0;0;1;1;2;1;the life and adventures of martin chuzzlewit;1
mary: a fiction;MARY_A_FICTION;1;0;1;0;0;2;1;mary: a fiction;1
mary barton: a tale of manchester life;MARY_BARTON;0;0;0;1;1;2;1;mary barton: a tale of manchester life;1
NA;MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC;0;0;0;1;0;1;1;NA;0
mathilda;MATHILDA;0;0;0;0;0;0;0;mathilda;1
NA;MAX;0;0;0;0;1;1;1;NA;0
NA;MAZEPPA;0;0;0;0;0;0;0;NA;0
melmoth the wanderer;MELMOTH_THE_WANDERER;0;0;0;0;0;0;0;melmoth the wanderer;1
NA;MEMOIRS_OF_A_CAVALIER;0;0;0;0;0;0;0;NA;0
NA;MEMOIRS_OF_A_MAGDALEN;0;0;0;0;0;0;0;NA;0
NA;MEMOIRS_OF_CARWIN_THE_BILOQUIST;0;0;0;0;0;0;0;NA;0
memoirs of emma courtney;MEMOIRS_OF_EMMA_COURTNEY;0;0;1;0;0;1;1;memoirs of emma courtney;1
micah clarke;MICAH_CLARKE;0;0;0;0;1;1;1;micah clarke;1
middlemarch, a study of provincial life;MIDDLEMARCH;0;0;0;1;1;2;1;middlemarch, a study of provincial life;1
a description of millenium hall and the country adjacent;MILLENIUM_HALL;0;0;0;1;0;1;1;a description of millenium hall and the country adjacent;1
moll flanders;MOLL_FLANDERS;0;0;0;0;0;0;0;moll flanders;1
NA;MOPSA_THE_FAIRY;0;0;0;1;1;2;1;NA;0
NA;MORAL_TALES;0;0;0;0;1;1;1;NA;0
NA;MR_MIDSHIPMAN_EASY;0;0;0;1;1;2;1;NA;0
NA;MY_KALULU_PRINCE,_KING,_AND_SLAVE;0;0;0;0;0;0;0;NA;0
NA;MY_LADY_LUDLOW;0;0;0;0;0;0;0;NA;0
my new curate;MY_NEW_CURATE;0;0;1;1;1;3;1;my new curate;1
nature and art;NATURE_AND_ART;0;0;1;0;0;1;1;nature and art;1
NA;NEW_ARABIAN_NIGHTS;0;0;0;0;1;1;1;NA;0
new grub street;NEW_GRUB_STREET;0;0;0;0;1;1;1;new grub street;1
news from nowhere;NEWS_FROM_NOWHERE;0;0;0;0;1;1;1;news from nowhere;1
NA;NIGHT_AND_MORNING;0;0;0;0;1;1;1;NA;0
nightmare abbey;NIGHTMARE_ABBEY;0;0;0;0;1;1;1;nightmare abbey;1
no name;NO_NAME_(NOVEL);0;0;0;1;1;2;1;no name;1
NA;NO_THOROUGHFARE;0;0;0;0;0;0;0;NA;0
north and south;NORTH_AND_SOUTH_(GASKELL_NOVEL);0;0;0;1;1;2;1;north and south;1
northanger abbey;NORTHANGER_ABBEY;0;0;1;1;1;3;1;northanger abbey;1
nostromo: a tale of the seaboard;NOSTROMO;0;0;0;0;1;1;1;nostromo: a tale of the seaboard;1
NA;NOUGHTS_&_CROSSES;0;0;0;0;1;1;1;NA;0
NA;ODD_MAN_OUT;0;0;0;0;0;0;0;NA;0
odour of chrysanthemums;ODOUR_OF_CHRYSANTHEMUMS;0;0;0;0;0;0;0;odour of chrysanthemums;1
the tale of old mortality;OLD_MORTALITY;0;0;1;1;1;3;1;the tale of old mortality;1
"oliver twist; or, the parish boy's progress";OLIVER_TWIST;0;0;0;1;1;2;1;"oliver twist; or, the parish boy's progress";1
NA;ON_THE_FACE_OF_THE_WATERS;0;0;0;0;0;0;0;NA;0
NA;ORIGINAL_STORIES_FROM_REAL_LIFE;0;0;0;0;0;0;0;NA;0
NA;ORLEY_FARM_(NOVEL);0;0;0;0;1;1;1;NA;0
oroonoko, or the royal slave;OROONOKO;0;0;0;0;0;0;0;oroonoko, or the royal slave;1
our mutual friend;OUR_MUTUAL_FRIEND;0;0;0;1;1;2;1;our mutual friend;1
our village;OUR_VILLAGE;0;0;0;1;0;1;1;our village;1
NA;OUT_ON_THE_PAMPAS;0;0;0;1;1;2;1;NA;0
pamela, or virtue rewarded;PAMELA_OR_VIRTUE_REWARDED;1;1;1;0;1;4;1;pamela, or virtue rewarded;1
NA;PANDORA;0;0;0;0;0;0;0;NA;0
patronage;PATRONAGE_(NOVEL);0;0;1;0;0;1;1;patronage;1
NA;PENDENNIS;0;0;0;0;0;0;0;NA;0
persuasion;PERSUASION_(NOVEL);0;0;1;0;1;2;1;persuasion;1
NA;PETER_AND_WENDY;0;0;0;0;0;0;0;NA;0
NA;PETER_THE_WHALER;0;0;0;0;0;0;0;NA;0
NA;PETER'S_PENCE;0;0;0;0;0;0;0;NA;0
phantastes: a faerie romance for men and women;PHANTASTES;0;0;0;0;1;1;1;phantastes: a faerie romance for men and women;1
NA;PHILISTIA;0;0;0;0;1;1;1;NA;0
NA;PHINEAS_REDUX;0;0;0;0;1;1;1;NA;0
NA;PLAIN_TALES_FROM_THE_HILLS;0;0;0;0;1;1;1;NA;0
NA;PLATTNER_STORY;0;0;0;0;1;1;1;NA;0
NA;POPULAR_TALES;0;0;0;0;1;1;1;NA;0
pride and prejudice;PRIDE_AND_PREJUDICE;0;0;1;1;1;3;1;pride and prejudice;1
NA;PRINCE_RICARDO_OF_PANTOUFLIA;0;0;0;0;1;1;1;NA;0
NA;PUCK_OF_POOK'S_HILL;0;0;0;0;1;1;1;NA;0
quentin durward;QUENTIN_DURWARD;0;0;1;1;1;3;1;quentin durward;1
recollections of a detective police officer;RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER;0;0;0;0;0;0;0;recollections of a detective police officer;1
NA;RECORDS_OF_A_GIRLHOOD;0;0;0;0;0;0;0;NA;0
red pottage;RED_POTTAGE;0;0;0;0;1;1;1;red pottage;1
redgauntlet;REDGAUNTLET;0;0;1;1;1;3;1;redgauntlet;1
ringan gilhaize or the covenanters;RINGAN_GILHAIZE;0;0;1;0;1;2;1;ringan gilhaize or the covenanters;1
rob roy;ROB_ROY;0;0;0;1;1;2;1;rob roy;1
robert elsmere;ROBERT_ELSMERE;0;0;0;0;1;1;1;robert elsmere;1
robert falconer;ROBERT_FALCONER;0;0;0;1;1;2;1;robert falconer;1
robinson crusoe;ROBINSON_CRUSOE;0;1;1;1;0;3;1;robinson crusoe;1
romola;ROMOLA;0;0;0;1;1;2;1;romola;1
NA;ROOKWOOD_(NOVEL);0;0;0;0;0;0;0;NA;0
NA;ROXANA;0;0;0;0;0;0;0;NA;0
NA;RUJUB_THE_JUGGLER;0;0;0;0;1;1;1;NA;0
ruth;RUTH;0;0;0;1;1;2;1;ruth;1
st. ronan's well;SAINT_RONAN'S_WELL;0;0;0;1;1;2;1;st. ronan's well;1
salem chapel;SALEM_CHAPEL;0;0;0;1;1;2;1;salem chapel;1
NA;SANDERS_OF_THE_RIVER;0;0;0;0;0;0;0;NA;0
NA;SANDITON;0;0;0;0;0;0;0;NA;0
sartor resartus;SARTOR_RESARTUS;0;0;0;0;0;0;0;sartor resartus;1
NA;SCENES_OF_CLERICAL_LIFE;0;0;0;1;1;2;1;NA;0
secresy, or the ruin of the rock;SECRESY;0;1;1;0;0;2;1;secresy, or the ruin of the rock;1
self-control;SELF-CONTROL_(NOVEL);0;0;1;1;0;2;1;self-control;1
sense and sensibility;SENSE_AND_SENSIBILITY;0;0;1;1;1;3;1;sense and sensibility;1
sentimental tommy: the story of his boyhood;SENTIMENTAL_TOMMY;0;0;0;0;1;1;1;sentimental tommy: the story of his boyhood;1
NA;SEVEN_LITTLE_AUSTRALIANS;0;0;0;0;1;1;1;NA;0
she: a history of adventure;SHE_A_HISTORY_OF_ADVENTURE;0;0;0;0;1;1;1;she: a history of adventure;1
NA;SHIRLEY_(NOVEL);0;0;0;0;0;0;0;NA;0
