;Text;CanonisationScore;NearestNeighbour;SimilarityScore
1623;DAS_BUCH_LE_GRAND_noWikiID;0.274620702;LICHTENSTEIN_noWikiID;0.764076244
1624;DAS_BUCH_LE_GRAND_noWikiID;0.274620702;ADDRICH_IM_MOOS_noWikiID;0.75582125
1553;DAS_DUELL_noWikiID;0.056072341;ZUM_ZEITVERTREIB_noWikiID;0.88324359
1554;DAS_DUELL_noWikiID;0.056072341;DER_SCHATZ_IM_SILBERSEE_Q249905;0.843191342
1555;DAS_DUELL_noWikiID;0.056072341;REQUIEM_DER_LIEBE_noWikiID;0.840416067
519;DAS_ERDBEBEN_IN_CHILI_Q1167748;0.305392408;DIE_FAMILIE_SELDORF_Q977237;0.614970195
520;DAS_ERDBEBEN_IN_CHILI_Q1167748;0.305392408;TITAN_(JEAN_PAUL)_Q492384;0.591210266
521;DAS_ERDBEBEN_IN_CHILI_Q1167748;0.305392408;HOLLINS_LIEBELEBEN_Q1624844;0.56852505
111;DAS_ERDBEERIMAREILI_noWikiID;0.056072341;JAKOBS_DES_HANDWERKSGESELLEN_WANDERUNGEN_DURCH_DIE_SCHWEIZ_noWikiID;0.782718101
112;DAS_ERDBEERIMAREILI_noWikiID;0.056072341;DIE_KAESEREI_IN_DER_VEHFREUDE_noWikiID;0.780792156
113;DAS_ERDBEERIMAREILI_noWikiID;0.056072341;ELSI,_DIE_SELTSAME_MAGD_Q1333830;0.773158668
1229;DAS_FRAEULEIN_VON_SCUDERI_Q358642;0.354934606;NACHTSTUECKE_Q15836200;0.82499322
1230;DAS_FRAEULEIN_VON_SCUDERI_Q358642;0.354934606;DIE_ELIXIERE_DES_TEUFELS_Q600849;0.800986047
1231;DAS_FRAEULEIN_VON_SCUDERI_Q358642;0.354934606;DAS_SANCTUS_Q1170225;0.750953848
447;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID;0.022106849;GOLDELSE_(MARLITT)_Q93955765;0.936068824
448;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID;0.022106849;DIE_ZWOELF_APOSTEL_noWikiID;0.890777743
449;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID;0.022106849;DIE_LEUTE_AUS_DEM_WALDE_Q1214404;0.874829455
612;DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID;0.060164085;ARDINGHELLO_noWikiID;0.724381286
613;DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID;0.060164085;GROENLAENDISCHE_PROZESSE_noWikiID;0.717537867
614;DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID;0.060164085;DER_GOLDNE_SPIEGEL_noWikiID;0.675176724
1250;DAS_GEMEINDEKIND_Q1168304;0.28976479;DER_STERNSTEINHOF_noWikiID;0.893314706
1251;DAS_GEMEINDEKIND_Q1168304;0.28976479;EIN_KAMPF_UMS_RECHT_Q95606786;0.863929947
1252;DAS_GEMEINDEKIND_Q1168304;0.28976479;MARTIN_SALANDER_Q1904882;0.852290395
1607;DAS_GESPENST_noWikiID;0.02378249;EFFI_BRIEST_Q1296168;0.875261298
1608;DAS_GESPENST_noWikiID;0.02378249;ERINNERUNGEN_VON_LUDOLF_URSLEU_noWikiID;0.859583696
1609;DAS_GESPENST_noWikiID;0.02378249;DER_BUETTNERBAUER_noWikiID;0.853260428
738;DAS_GLUECK_Q3209153;0.056072341;CECILE_noWikiID;0.870214097
739;DAS_GLUECK_Q3209153;0.056072341;MARTIN_SALANDER_Q1904882;0.861653112
740;DAS_GLUECK_Q3209153;0.056072341;NOVELLEN_AUS_OESTERREICH_noWikiID;0.838727213
1163;DAS_GOLDMACHERDORF_Q114357971;0.022106849;SALY'S_REVOLUTIONSTAGE_noWikiID;0.740891354
1164;DAS_GOLDMACHERDORF_Q114357971;0.022106849;DER_WINTERGARTEN_noWikiID;0.717437536
1165;DAS_GOLDMACHERDORF_Q114357971;0.022106849;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377;0.688326819
150;DAS_HEIMWEH_Q1168923;0.020546783;LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL_Q1810880;0.818670083
