title;wikiname;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;best_match_circl;circl
die europamüden;DIE_EUROPAMUEDEN;0;0;0;0;0;0;0;0;die europamüden;1
die familie;DIE_FAMILIE;0;0;0;0;1;0;1;1;NA;NA
die familie seldorf;DIE_FAMILIE_SELDORF;0;0;0;0;0;0;0;0;die familie seldorf;1
die familie worel;DIE_FAMILIE_WOREL;0;0;0;0;0;0;0;0;die familie worel;1
NA;DIE_FERMATE;0;0;0;0;0;0;0;0;NA;NA
die flusspiraten des mississippi;DIE_FLUSSPIRATEN_DES_MISSISSIPPI;0;0;0;0;1;1;2;1;NA;NA
die frau professorin;DIE_FRAU_PROFESSORIN;0;0;0;1;1;1;3;1;die frau professorin;1
die freiherren von gemperlein;DIE_FREIHERREN_VON_GEMPERLEIN;0;0;0;0;0;1;1;1;die freiherren von gemperlein;1
NA;DIE_FREUNDE_(LUDWIG_TIECK);0;0;0;0;0;0;0;0;NA;NA
die geier-wally (roman);DIE_GEIER-WALLY_(ROMAN);0;0;0;0;0;1;1;1;NA;NA
die geigerin;DIE_GEIGERIN;0;0;0;0;0;1;1;1;die geigerin;1
die geschichte der anna waser. ein roman aus der wende des 17. jahrhunderts;DIE_GESCHICHTE_DER_ANNA_WASER;0;0;0;0;0;0;0;0;die geschichte der anna waser. ein roman aus der wende des 17. jahrhunderts;1
die glückliche reise;DIE_GLUECKLICHE_REISE;0;0;0;0;0;0;0;0;die glückliche reise;1
die glücksritter;DIE_GLUECKSRITTER;0;0;0;0;0;0;0;0;die glücksritter;1
NA;DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY;0;0;0;0;0;0;0;0;NA;NA
NA;DIE_GOLDENE_SCHMIEDE;0;0;0;0;0;0;0;0;NA;NA
die günderrode;DIE_GUENDERODE;0;0;0;0;0;0;0;0;die günderrode;1
die gute schule;DIE_GUTE_SCHULE;0;0;0;0;0;1;1;1;die gute schule;1
hanna;DIE_HANNA;0;0;0;0;0;1;1;1;hanna;1
die heilige cäcilie oder die gewalt der musik;DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK;0;0;0;1;0;0;1;1;die heilige cäcilie oder die gewalt der musik;1
die hochzeit des mã¶nchs;DIE_HOCHZEIT_DES_MOENCHS;0;0;0;0;0;1;1;1;die hochzeit des mã¶nchs;1
die hosen des herrn von bredow;DIE_HOSEN_DES_HERRN_VON_BREDOW;0;0;0;1;0;1;2;1;die hosen des herrn von bredow;1
NA;DIE_INNERSTE;0;0;0;0;0;0;0;0;NA;NA
NA;DIE_INSEL_FELSENBURG;0;0;0;0;0;0;0;0;NA;NA
die juden von barnow;DIE_JUDEN_VON_BARNOW;0;0;0;0;0;1;1;1;NA;NA
die judenbuch;DIE_JUDENBUCHE;0;0;0;0;0;0;0;0;die judenbuch;1
die käserei in der vehfreude;DIE_KAESEREI_IN_DER_VEHFREUDE;0;0;0;1;1;0;2;1;die käserei in der vehfreude;1
die kinder von finkenrode;DIE_KINDER_VON_FINKENRODE;0;0;0;0;0;1;1;1;NA;NA
die kleine stadt;DIE_KLEINE_STADT;0;0;0;0;0;0;0;0;die kleine stadt;1
die klugen jungfrauen;DIE_KLUGEN_JUNGFRAUEN;0;0;0;0;0;1;1;1;die klugen jungfrauen;1
NA;DIE_KOENIGSBRAUT;0;0;0;0;0;0;0;0;NA;NA
die kronenwächter;DIE_KRONENWAECHTER;0;0;0;0;0;0;0;0;die kronenwächter;1
die lehrlinge zu sais;DIE_LEHRLINGE_ZU_SAIS;0;0;0;0;0;0;0;0;die lehrlinge zu sais;1
die leiden des jungen werther;DIE_LEIDEN_DES_JUNGEN_WERTHERS;1;1;1;1;0;1;5;1;die leiden des jungen werther;1
die letzte reckenburgerin;DIE_LETZTE_RECKENBURGERIN;0;0;0;0;0;1;1;1;NA;NA
NA;DIE_LEUTE_AUS_DEM_WALDE;0;0;0;0;0;0;0;0;NA;NA
die leute vom blauen gucuckhaus;DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS;0;0;0;0;0;0;0;0;die leute vom blauen gucuckhaus;1
die leute von seldwyla;DIE_LEUTE_VON_SELDWYLA;0;0;0;0;1;1;2;1;die leute von seldwyla;1
NA;DIE_LIEBENSWUERDIGE_ADALIE;0;0;0;0;0;0;0;0;NA;NA
die mädchenfeinde;DIE_MAEDCHENFEINDE;0;0;0;0;0;0;0;0;die mädchenfeinde;1
majoratsherren;DIE_MAJORATSHERREN;0;0;0;0;0;0;0;0;majoratsherren;1
die mandanen-waise;DIE_MANDANEN-WAISE;0;0;0;0;0;0;0;0;die mandanen-waise;1
die marzipanlise;DIE_MARZIPANLIESE;0;0;0;0;0;0;0;0;die marzipanlise;1
