wikiname;syllabi;score_syllabi;freq_y
NEUE_GESCHICHTEN_AUS_DEM_GHETTO;;;
NEUE_IDYLLEN;;;
NINON;;;
NOVELLEN_AUS_OESTERREICH;;;
OHNE_LIEBE;;;
PANKRAZ_DER_SCHMOLLER;;;
PAPA_HAMLET;1;100;2
PARALYSE;;;
PETER_CAMENZIND;;;
PETER_SCHLEMIHLS_WUNDERSAME_GESCHICHTE;1;94.73684211;3
PFISTERS_MUEHLE;1;89.65517241;1
PFLUG_UND_SCHRAUBSTOCK;;;
PLAUTUS_IM_NONNENKLOSTER;;;
POLE_POPPENSPAELER;;;
POLIZEIGESCHICHTEN;;;
POLNISCHE_GHETTO-GESCHICHTEN;;;
PRINZESSIN_BRAMBILLA;1;100;1
PRINZESSIN_FISCH;;;
PROFESSOR_UNRAT;1;96.77419355;2
PROKOPUS;;;
PSYCHE;;;
QUITT_(FONTANE);;;
REICH_UND_ARM;;;
REICHSGRAEFIN_GISELA;;;
REISE_NACH_BRAUNSCHWEIG;;;
REISENOVELLEN;;;
REITERGESCHICHTE;1;100;1
RENATE;;;
REQUIEM_DER_LIEBE;;;
REVOLUTION_UND_CONTREREVOLUTION;;;
RINALDO_RINALDINI;;;
RITTMEISTER_BRAND;;;
ROBINSON_DER_JUENGERE;;;
ROMAN_AUS_DER_DECADENCE;;;
ROSSHALDE;;;
RUHE_IST_DIE_ERSTE_BUERGERPFLICHT;;;
RYNO;;;
SALY'S_REVOLUTIONSTAGE;;;
SANKT_THOMAS_(NOVELLE);;;
SATIRISCHE_ERZAEHLUNGEN;;;
SCHACH_VON_WUTHENOW;;;
SCHACHTEL_MIT_DER_FRIEDENSPUPPE;;;
SCHELMUFFSKY;1;91.66666667;2
SCHICKSALE_EINER_SEELE;;;
SCHLOSS_AVALON;;;
SCHLOSS_UND_FABRIK;;;
SCHWARZWAELDER_DORFGESCHICHTEN;1;94.91525424;1
SCHWEIGEN;;;
SELTSAMES_BEGEGNEN_UND_WIEDERSEHEN;;;
SERAPHINE;;;
SIBILLA_DALMAR;;;
LA_SIBYLLE;;;
SIEBEN_LEGENDEN;;;
SIEBENKAES;;;
SIEGWART;;;
SOLL_UND_HABEN_(ROMAN);1;90;2
STERBEN;;;
STINE_(FONTANE);;;
STOPFKUCHEN;1;100;5
STUFENJAHRE_EINES_GLUECKLICHEN;;;
STURMFLUT;1;100;1
TAGEBUCH_EINER_VERLORENEN;;;
TAGEBUCH_EINES_ARMEN_FRAEULEINS;;;
TAMBI;;;
TITAN_(JEAN_PAUL);1;90;1
TOD_IN_VENEDIG;1;95;4
TONIO_KROEGER;1;88;3
TOTENMESSE;;;
TRAGIK_DES_LEBENS;;;
TUBUTSCH;;;
ULI_DER_KNECHT;1;96.55172414;1
ULI_DER_PAECHTER;;;
UNDINE;1;100;1
UNRUHIGE_GAESTE;;;
UNSUEHNBAR;;;
UNTERHALTUNGEN_DEUTSCHER_AUSGEWANDERTEN;1;100;2
UNTERHALTUNGEN_MIT_EINER_HEILIGEN;;;
UNTERM_BIRNBAUM;;;
UNTERM_RAD;1;100;1
UNWAHRSCHEINLICHE_WAHRHAFTIGKEITEN;;;
UNWIEDERBRINGLICH;;;
USONG;;;
VENUS_IM_PELZ;;;
VEREINIGUNGEN;;;
VERWORRENES_LEBEN;;;
VIEL_LAERMEN_UM_NICHTS;;;
VIOLA_TRICOLOR_(STORM);;;
VITTORIA_ACCOROMBONA;;;
VON_PAUL_ZU_PEDRO;;;
VOR_DEM_STURM_(ROMAN);;;
WALDEINSAMKEIT;;;
WALDHEIMAT;;;
WALLY,_DIE_ZWEIFLERIN;;;
WAS_DIE_ISAR_RAUSCHT;;;
WEISSE_SCLAVEN_ODER_DIE_LEIDEN_DES_VOLKES;;;
WIE_FRAUEN_WERDEN._WERDE,_DIE_DU_BIST;;;
WIE_FUENF_MAEDCHEN_IM_BRANNTWEIN_JAEMMERLICH_UMKOMMEN;;;
WIE_WUNDERBAR;;;
WIENER_BLUT;;;
WILHELM_MEISTERS_LEHRJAHRE;1;100;7
WILHELM_MEISTERS_THEATRALISCHE_SENDUNG;;;
WILHELM_MEISTERS_WANDERJAHRE;1;100;4
WILLIAM_LOVELL;;;
WOLDEMAR;;;
ZERBIN_ODER_DIE_NEUERE_PHILOSOPHIE;;;
ZUERICHER_NOVELLEN;;;
ZUM_WILDEN_MANN;;;
ZUM_ZEITVERTREIB;;;
ZUR_CHRONIK_VON_GRIESHUUS;;;
ZUR_WALD-_UND_WASSERFREUDE;;;
ZWEI_SCHWESTERN;;;
ZWISCHEN_HIMMEL_UND_ERDE_(ERZAEHLUNG_1856);;;
