"louvain","louvain group","id"
"40","","OLD_MORTALITY_Q3234969"
"2","","OLD_TESTAMENT_Q19786"
"8","","OLIVER_TWIST_Q164974"
"11","","ON_A_RAISED_BEACH_noWikiID"
"0","","ON_BEAUTY_Q1994900"
"13","","ON_THE_ONE_HAND_noWikiID"
"13","","ON_THE_ORIGIN_OF_SPECIES_Q20124"
"4","","ON_THE_STUDY_OF_CELTIC_LITERATURE_noWikiID"
"14","","ONCE_A_WEEK_noWikiID"
"2","","ONE_THOUSAND_AND_ONE_NIGHTS_Q8258"
"12","","ORANGES_ARE_NOT_THE_ONLY_FRUIT_Q4843750"
"4","","ORBIS_PICTUS_Q655794"
"12","","ORIENTALISM_(BOOK)_Q1574967"
"10","","ORIGINAL_STORIES_FROM_REAL_LIFE_Q2705647"
"12","","ORLANDO:_A_BIOGRAPHY_Q1629456"
"2","","ORLANDO_FURIOSO_Q48922"
"7","","ORLANDO_noWikiID"
"1","","ORMOND_noWikiID"
"52","","OROONOKO_Q2453934"
"18","","OSORIO_(PLAY)_Q19630467"
"15","","OTHELLO_Q26833"
"8","","OUR_MUTUAL_FRIEND_Q1557935"
"1","","OUR_VILLAGE_Q7111226"
"5","","PALL_MALL_GAZETTE_noWikiID"
"10","","PAMELA;_OR_VIRTUE_REWARDED_Q2048624"
"0","","PAMELA_AND_CLARISSA_noWikiID"
"58","","PAMELA_noWikiID"
"12","","PARADE'S_END_noWikiID"
"87","","PARADISE_LOST_Q28754"
"3","","PAST_AND_PRESENT_(BOOK)_Q7142925"
"1","","PELHAM_noWikiID"
"1","","PENDENNIS_Q7162382"
"5","","PENNY_MAGAZINE_noWikiID"
"5","","PEOPLE'S_JOURNAL_noWikiID"
"7","","PERSUASION_(NOVEL)_Q333179"
"0","","PETER_AND_WENDY_Q3435337"
"11","","PETER_RABBIT_noWikiID"
"11","","PETRON_noWikiID"
"0","","PHANTASTES_Q1616808"
"6","","PILGRIMAGE_Q30610271"
"4","","PLAY_FOR_TODAY_noWikiID"
"3","","PLAYS_ON_THE_PASSIONS_noWikiID"
"5","","POEMS_(AUDEN)_Q7207360"
"5","","POEMS_AND_BALLADS_noWikiID"
"5","","POEMS_BY_EMINENT_LADIES_noWikiID"
"21","","POEMS_OF_OSSIAN_noWikiID"
"5","","POEMS_ON_SEVERAL_OCCASIONS_noWikiID"
"21","","POETRY_AND_PROSE_noWikiID"
"3","","PORTRAIT_noWikiID"
"12","","POSSESSION_(BYATT_NOVEL)_Q428581"
"4","","PRACTICAL_EDUCATION_Q7237318"
"3","","PRAETERITA_noWikiID"
"20","","PREFACE_TO_THE_LYRICAL_BALLADS_Q7239796"
"10","","PRIDE_AND_PREJUDICE_Q170583"
