louvain;id_A;betweenness;Source
2;2530;0;DIE_MACHT_DER_FINSTERNIS_Q1214669
2;2731;0;SULZER_noWikiID
2;2787;0;PETER_SQUENTZ_noWikiID
2;2821;0;DIE_RIESENZWERGE_noWikiID
2;2921;0;CHRISTIAN_DIETRICH_GRABBE_Q61091
2;3039;30480;DIE_RUNDKÖPFE_UND_DIE_SPITZKÖPFE_noWikiID
2;502;0;HEINRICH_HEINE_Q44403
2;503;12206;GEORG_BÜCHNER_Q154014
2;651;0;GUSTAVE_FLAUBERT_Q43444
2;652;6104;FJODOR_MICHAILOWITSCH_DOSTOJEWSKI_Q991
2;7;73074;WILLIBALD_ALEXIS_Q77312
2;716;42678;STENDHAL_Q502
2;717;0;KARL_IMMERMANN_Q213589
2;718;12204;HONORÉ_DE_BALZAC_Q9711
2;719;0;VOSS_noWikiID
2;755;0;ELISABETH_HAUPTMANN_Q73781
2;756;6104;MARGARETE_STEFFIN_Q87346
2;8;133614;EDUARD_MÖRIKE_noWikiID
2;9;12206;RUDOLF_VON_GOTTSCHALL_Q96796
3;1003;0;JENNY_GRIMMINGER_Q1687032
3;1143;6104;CAROLUS_STUARDUS_noWikiID
3;1144;18304;PAPINIAN_noWikiID
3;1145;0;LEO_ARMENIUS_Q1818468
3;12;30488;AISCHYLOS_Q40939
3;13;193832;LAZARILLO_DE_TORMES_Q770895
3;1318;0;MESSIAS_noWikiID
3;14;18306;EURIPIDES_Q48305
3;1459;0;ELISABETH_KULMANN_Q78012
3;1460;516084;FABIAN_noWikiID
3;1461;199320;JOHANN_BEER_Q76444
3;15;0;DIE_SOLDATEN_noWikiID
3;1782;0;DECAMERONE_Q16438
3;1800;24402;JOHN_MILTON_Q79759
3;1828;0;JOHANN_KLAJ_Q70861
3;1829;12206;PAUL_FLEMING_Q77418
3;1959;0;SENECA_Q2054
3;2348;6104;SALOMON_GESSNER_Q123765
3;2349;0;WILLIAM_SHAKESPEARE_Q692
3;2360;109324;WIDERWERTIGKEIT_DESS_KRIEGS_noWikiID
3;2390;0;CHRISTIAN_HOFFMANN_VON_HOFFMANNSWALDAU_Q64278
3;2397;0;JACOBS_noWikiID
3;2416;0;DER_STERBENDE_CATO_noWikiID
3;2417;0;HEINER_MÜLLER_Q57426
3;2527;6104;JOHANN_MICHAEL_MOSCHEROSCH_Q110729
3;2528;0;GEORG_RODOLF_WECKHERLIN_Q77860
3;2563;0;FRANZ_VON_DINGELSTEDT_Q64370
3;2564;12206;AUGUST_HEINRICH_HOFFMANN_VON_FALLERSLEBEN_noWikiID
3;2677;0;DANTE_ALIGHIERI_Q1067
3;2773;0;SOPHONISBE_(VOLTAIRE)_Q20108941
3;2822;30480;ARCADIA_(DICHTUNG)_Q428239
3;2823;24398;YORICKS_EMPFINDSAME_REISE_DURCH_FRANKREICH_UND_ITALIEN_Q768792
3;2843;0;DENIS_DIDEROT_Q448
3;2889;0;JOSEPH_HAYDN_Q7349
3;3001;0;TOM_JONES:_DIE_GESCHICHTE_EINES_FINDELKINDES_Q248096
3;360;60914;CHRISTOPHER_MARLOWE_Q28975
3;361;91234;KUHLMANN_noWikiID
3;362;30480;PEDRO_CALDERÓN_DE_LA_BARCA_Q170800
3;363;0;JONATHAN_SWIFT_Q41166
3;364;12206;GIOVANNI_BOCCACCIO_Q1402
3;446;0;PHILIPP_VON_ZESEN_Q76458
3;612;300398;HEINRICH_KAMINSKI_Q561189
3;613;513962;STEIGER_noWikiID
3;614;0;NORBERT_VERWEYEN_Q23061090
3;615;288984;L'ART_POÉTIQUE_noWikiID
3;662;24400;WILHELM_HEINRICH_KOOPMANN_Q2573138
3;663;557358;LÄMMERT_noWikiID
3;664;6104;SCHINGS_noWikiID
3;665;6104;ELM_noWikiID
3;943;6104;ARAMENA_noWikiID
3;944;0;ANTON_ULRICH_VON_BRAUNSCHWEIG-WOLFENBÜTTEL_Q64243
3;945;127420;EBERHARD_WERNER_HAPPEL_Q90676
3;994;0;EUGEN_BIRCHER_Q120184
4;1008;24404;JAEGGI_noWikiID
4;1009;48750;MAY_noWikiID
4;1010;0;TRIVIALROMANS_noWikiID
4;1011;0;BURGER_noWikiID
4;1012;0;ASTON_noWikiID
4;1013;0;JAMES_COOK_Q7324
4;1178;48734;JOSEF_NADLER_Q106066
4;1179;188104;DOMANIG_noWikiID
4;1180;0;PEUTINGERS_noWikiID
4;1244;0;HEIKE_SANDER_noWikiID
4;1245;6104;WILLY_BRANDT_Q2514
4;1322;0;MANN_IST_MANN_Q735889
4;1448;0;SINN_UND_FORM_noWikiID
4;1449;12206;DIE_HANDSCHRIFT_noWikiID
4;149;0;HEINRICH_CORNELIUS_AGRIPPA_VON_NETTESHEIM_Q76568
4;150;0;JOSUA_OPITZ_Q1645992
4;151;6104;GREEN_noWikiID
4;16;24400;DAVID_FRIEDRICH_STRAUSS_Q57219
4;1669;24400;LAURA_GLAUSER_Q16653248
4;17;36574;LOUIS-PHILIPPE_I._Q7771
4;1712;18300;ELISE_REIMARUS_Q107981
4;1713;24392;GEORG_CHRISTOPH_LICHTENBERG_noWikiID
4;1714;12204;LUISE_RINSER_Q69178
4;1736;0;DR._JOHNSON_noWikiID
4;1737;6104;HANS_SACHS_(STAATSANWALT)_Q1306382
4;18;6104;JOHANNES_CALVIN_Q37577
4;1811;103442;KARI_METTE_JOHANSEN_Q270473
4;19;6104;WILHELM_LIEBKNECHT_Q20127
4;1947;12206;RICHARD_GUYON_Q329315
4;1948;18300;MARGARETA_VON_ANTIOCHIA_Q297742
4;1949;0;FREY_noWikiID
4;1950;0;ZIEGLER_noWikiID
4;1952;0;RÜDIGER_MANESSE_noWikiID
4;1953;24402;KURT_GUGGENHEIM_noWikiID
4;2009;6104;WOLF_noWikiID
4;2023;0;GESSLER_noWikiID
4;2086;0;ROMANS_noWikiID
4;2117;0;DER_MANN_OHNE_EIGENSCHAFTEN_Q1195668
4;2132;0;MARIA_STUART_(DRAMA)_Q425837
4;2146;12206;SUDELBÜCHER_Q22920292
4;2238;0;NELLY_SACHS_Q57074
4;2291;0;HULDRYCH_ZWINGLI_Q123034
4;2292;24398;DIE_SCHRIFTSTELLER_Q3205251
4;2293;0;SIEGMUND_(BAYERN)_Q64312
4;2385;0;FRITZ_KOCHER_noWikiID
4;2386;0;TAGELIED_noWikiID
4;2409;36574;FABRICIUS_noWikiID
4;2410;0;PAUL_OTT_(ORGELBAUER)_Q105760
4;2451;0;AVA_noWikiID
4;2540;0;KARL_LIEBKNECHT_Q75886
4;2745;0;LUKAS_BÄRFUSS_Q118973
4;2746;6104;E._Y._MEYER_Q1273602
4;2926;24392;DIES_BUCH_GEHÖRT_DEM_KÖNIG_noWikiID
4;2987;0;JEAN-RUDOLF_VON_SALIS_noWikiID
4;2988;0;BLAISE_CENDRARS_Q123080
4;2998;0;STAHL_noWikiID
4;323;0;ZOLLINGER_noWikiID
4;324;6104;SCHWARZENBACH_noWikiID
4;347;12206;PRINZ_FRIEDRICH_VON_HOMBURG_ODER_DIE_SCHLACHT_BEI_FEHRBELLIN_Q366146
4;348;18300;DAS_KÄTHCHEN_VON_HEILBRONN_Q316826
4;349;0;PENTHESILEA_(KLEIST)_Q451932
4;350;0;OFTERDINGEN_noWikiID
4;589;0;ALBRECHT_I._(HRR)_Q153956
4;590;42644;RUDOLF_I._(HRR)_Q76956
4;620;0;WOLFGANG_LANGHOFF_Q73195
4;621;6104;MARIA_ARNDTS_Q1895670
4;86;0;DER_BEOBACHTER_noWikiID
4;87;974094;ZU_RECHT_noWikiID
4;927;30492;BUDDENBROOKS_Q326909
4;928;12206;DER_ZAUBERBERG_Q212898
4;929;36564;PETZOLD_noWikiID
4;930;6104;FAUST._DER_TRAGÖDIE_ZWEITER_TEIL_Q267510
5;1137;0;METZLER_noWikiID
5;116;0;ZUR_TRADITION_noWikiID
5;1163;1592466;DEUTSCHES_ARBEITERTHEATER_noWikiID
5;1164;1642822;MATTHIAS_GALLAS_Q553849
5;1165;6104;SCHÜTZ_noWikiID
5;1166;1487724;DIE_WELTBÜHNE_noWikiID
5;1167;0;DIE_NEUE_FRAU_noWikiID
5;117;48754;V_HASUBEK_noWikiID
5;1293;0;HEINRICH_FEDERER_Q120908
5;1630;1641980;KURT_SZAFRANSKI_Q25931025
5;1631;1663402;P._HOFFMANN_noWikiID
5;1676;0;SIDNEY_noWikiID
5;1692;0;BLUMENBERG_noWikiID
5;1693;2864556;MICHELSEN_noWikiID
5;1709;0;II_BAUMGARTEN_noWikiID
5;1710;18306;ROMANTHEORIE_noWikiID
5;1757;0;HANSERS_noWikiID
5;1831;573846;II_GRIMM_noWikiID
5;1832;579180;MAX_HGG_noWikiID
5;1833;0;DEUTSCHES_WÖRTERBUCH_Q96321
5;1834;0;AITHIOPIKÁ_Q2657860
5;1837;18304;DER_DREISSIGJÄHRIGE_KRIEG_noWikiID
5;1838;36582;DER_WIENER_KONGRESS_noWikiID
5;1839;6104;ANDRÉ_BRETON_Q161955
5;1840;0;ADOLF_HITLER_Q352
5;1846;6104;EMANUEL_KEMPER_Q1334692
5;1890;2847038;K.-D._MÜLLER_noWikiID
5;1891;2948392;FRICK_noWikiID
5;1892;0;SCHÖNE_noWikiID
5;20;66960;FÄHNDERS_noWikiID
5;2031;0;J._SCHMIDT_noWikiID
5;2032;0;MCINNES_noWikiID
5;21;85140;PAUL_SOLLMANN_Q94788179
5;2177;0;EGON_VIETTA_Q1298944
5;22;48744;VAN_DEN_BERG_noWikiID
5;2271;0;ZW_noWikiID
5;2273;0;CLAUDE_ADRIEN_HELVÉTIUS_Q190302
5;2274;6104;JULIEN_OFFRAY_DE_LA_METTRIE_Q7068
5;23;6104;SOZIALGESCHICHTE_noWikiID
5;2396;0;KARLSBADER_BESCHLÜSSE_noWikiID
5;2424;0;BARNER_noWikiID
5;2425;6104;SIEGRIST_noWikiID
5;2519;0;DIE_NAPOLEONISCHEN_KRIEGE_noWikiID
5;2520;42644;MUSSOLINIS_noWikiID
5;2591;24392;DYCK_noWikiID
5;2661;0;D._LORENZ_noWikiID
5;2662;6104;WILHELM_CHRISTIAN_FRIEDRICH_OEHM_Q106190856
5;2674;0;MARIA_THERESIA_noWikiID
5;2715;0;JOHANN_GEORG_HAMANN_Q76499
5;2727;6104;IV_SCHLEGEL_noWikiID
5;2728;0;BERNHARD_ZELLER_Q826209
5;2860;0;JOSEPH_HUET_Q19800912
5;2861;0;POETIK_(ARISTOTELES)_Q264714
5;2863;0;JAN_DAEMESZ._DE_VETH_Q2543766
5;2922;0;GROSS_noWikiID
5;2934;48720;ROSENBERG_noWikiID
5;2977;0;VIRGIL_VON_SALZBURG_Q561251
5;313;24402;ANNETTE_SPELLERBERG_Q105907060
5;314;6104;GLASER_noWikiID
5;315;0;AUST_noWikiID
5;316;0;HOHBERG_noWikiID
5;704;18304;ANGELA_VON_FOLIGNO_Q240297
5;705;2453718;HILLEBRAND_noWikiID
5;706;0;ADOLPH_FRIEDRICH_RIEDEL_Q365353
5;707;6104;AVA-DKV_noWikiID
5;708;0;DIETER_KIMPEL_Q104535927
5;758;0;V_GRIMM_noWikiID
5;759;18304;PÜTZ_noWikiID
5;826;12206;SPRENGEL_noWikiID
5;827;30494;AVANTGARDE_noWikiID
5;828;0;DIE_NEUE_SACHLICHKEIT_noWikiID
5;829;0;FIN_DE_SIÈCLE_noWikiID
5;936;6104;FLEMMING_noWikiID
5;937;85182;VOSSKAMP_noWikiID
6;1069;0;AGATHA_VON_CATANIA_Q200895
6;1070;12206;SOPHIE_VON_STERNHEIM_noWikiID
6;1148;0;ACOSTAS_noWikiID
6;1149;6104;SARA_noWikiID
6;1604;0;URIEL_DA_COSTA_Q347893
6;1605;6104;ADOLPH_PREISS_(MÜNZSAMMLER)_Q15791695
6;1616;6104;BERTHA_KRUPP_VON_BOHLEN_UND_HALBACH_Q66505
6;1623;0;ANNE_LENE_noWikiID
6;1624;0;JAKOB_noWikiID
6;168;6104;MAMMY_noWikiID
6;169;139666;FERNAND_noWikiID
6;170;0;JULIE_noWikiID
6;171;0;FRITZ_noWikiID
6;172;24398;CHRISTINA_(SCHWEDEN)_Q52937
6;1774;0;DORSDAY_noWikiID
6;1804;0;MENSCHENKIND_(ROMAN)_Q971767
6;1805;6104;DESSA_noWikiID
6;1886;0;EROS_noWikiID
6;2137;12204;BEATE_noWikiID
6;24;115572;HELGA_noWikiID
6;25;121320;LILLI_noWikiID
6;2508;6104;GEORG_TIMPE_Q41160344
6;2543;18304;URSULA_KRECHEL_Q72804
6;2544;0;INGE_MÜLLER_Q75236
6;26;0;WALLYS_noWikiID
6;2613;0;WILHELM_I._(DEUTSCHES_REICH)_Q150652
6;2614;0;PETERS_noWikiID
6;2630;0;WALLY_noWikiID
6;2642;0;FRIEDRICH_VON_BERNHARDI_Q71308
6;27;12206;GEYERS_noWikiID
6;28;0;CORNELLE_noWikiID
6;29;36590;ACOSTA_noWikiID
6;2904;0;EMILY_noWikiID
6;30;18304;HIDEO_MURAI_Q6134680
6;31;0;RUDOLF_II._(HRR)_Q150586
6;32;6104;PAULA_noWikiID
6;400;0;MARIE_VON_SACHSEN-ALTENBURG_(1818–1907)_Q61452
6;401;36574;ELSE_noWikiID
6;566;85118;THERESE_VON_SACHSEN-HILDBURGHAUSEN_Q233198
6;567;0;SIDONIA_noWikiID
6;568;73066;RUTH_noWikiID
6;577;325590;EDNA_noWikiID
6;633;12206;CELINE_noWikiID
6;634;0;WENDT_noWikiID
6;635;0;PABLO_noWikiID
6;765;0;WASER_noWikiID
6;766;6104;MARON_noWikiID
6;783;0;KLARA_VON_ASSISI_Q191107
6;792;0;LOTH_noWikiID
6;793;6104;HELENE_IN_BAYERN_Q60292
6;808;12204;SETHE_noWikiID
6;809;6104;IDA_noWikiID
6;841;145518;BELOVED_noWikiID
6;935;0;KATHARINA_II._Q36450
6;995;0;SOPHIE_VON_DER_PFALZ_Q57224
7;1132;6104;CONNI_noWikiID
7;1133;0;JOHANNES_TIMPE_noWikiID
7;1235;12204;MARGARETA_KLOPSTOCK_Q1727983
7;1236;18300;CHARLOTTE_VON_KALB_Q77413
7;1237;6104;OLYMPIA_noWikiID
7;1262;0;ALBERT_(SACHSEN)_Q168657
7;1263;79104;MATTHÄUS_ZELL_Q85810
7;1346;6104;REUCHLIN_noWikiID
7;1347;12204;CURIONE_noWikiID
7;1348;0;MARIA_KAROLINE_FLACHSLAND_Q1896015
7;1724;6104;KÖNIG_ARTUS_noWikiID
7;1725;0;HILDE_MARCHWITZA_Q18957701
7;1810;18300;MANUEL_noWikiID
7;1819;133620;KAROLINE_VON_BADEN_Q170195
7;193;0;GABRIELE_noWikiID
7;194;265918;KONSTANZE_(ANTIOCHIA)_Q238609
7;1961;0;TOM_noWikiID
7;1962;24398;ALFONSO_noWikiID
7;2170;0;MARTIN_VON_TOURS_Q133704
