"","canonisation_score","louvain","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","indegree","pagerank","class","reviews_binary"
"96","0.0560723413501725","5","2","0","DAS_SANCTUS_Q1170225","1","0.003144107464490265","0","0.15","No Review, Catalogue","0"
"97","0.0560723413501725","6","1","0","DAS_SCHAEDLICHE_noWikiID","1","0.003144107464490265","1","0.22359085604721773","No Review, Catalogue","0"
"98","0.0205467828522686","13","0","0","DAS_SCHATZHAUS_DES_KOENIGS_noWikiID","0","4.2217028557827894E-4","5","1.0257714501593758","No Review & No Catalogue","0"
"99","0.289764790109877","7","0","0","DAS_SCHLOSS_DUERANDE_Q1170280","0","0.08396363358742107","8","1.303591142429455","No Review & No Catalogue","0"
"100","0.0221068485323305","9","1","0","DAS_SCHWEIGEN_IM_WALDE_noWikiID","1","4.887127520314033E-4","11","2.69641513012689","No Review, Catalogue","0"
"101","0.0601640846066759","5","2","0","DAS_STEINERNE_HERZ_noWikiID","1","0.0036197170765592556","1","0.21250684267313402","No Review, Catalogue","0"
"102","0.259978377605495","8","0","2","DAS_STUTTGARTER_HUTZELMAENNLEIN_Q13142535","0","0.06758875682238535","1","0.18669232884245257","Review, No Catalogue","1"
"103","0.104292668680321","0","0","0","DAS_URTEIL_(KAFKA)_Q278998","0","0.010876960740463208","0","0.15","No Review & No Catalogue","0"
"104","0.0205467828522686","11","0","0","DAS_VERLASSENE_HAUS_noWikiID","0","4.2217028557827894E-4","0","0.15","No Review & No Catalogue","0"
"105","0.444348419807107","14","0","0","DAS_VERLORENE_LACHEN_Q1171678","0","0.197445518185073","0","0.15","No Review & No Catalogue","0"
"106","0.0560723413501725","13","1","0","DAS_VERMAECHTNIS_DES_INKA_noWikiID","1","0.003144107464490265","1","0.20346145869154292","No Review, Catalogue","0"
"107","0.0601640846066759","13","0","0","DAS_WALDROESCHEN_noWikiID","0","0.0036197170765592556","9","2.2524687394983474","No Review & No Catalogue","0"
"108","0.0560723413501725","9","1","1","DAS_WEIBERDORF_noWikiID","1","0.003144107464490265","5","0.9183641498046029","Review & Catalogue","1"
"109","0.0560723413501725","0","1","0","DAS_ZAUBERSCHLOSS_noWikiID","1","0.003144107464490265","2","0.5324651609849597","No Review, Catalogue","0"
"110","0.0205467828522686","10","1","0","DE_PROFUNDIS_noWikiID","1","4.2217028557827894E-4","0","0.15","No Review, Catalogue","0"
"111","0.0560723413501725","0","0","0","DEN_STEIN_DER_WEISEN_noWikiID","0","0.003144107464490265","2","0.594108272517028","No Review & No Catalogue","0"
"112","0.0560723413501725","3","2","0","DER_ALTE_VOM_BERGE_noWikiID","1","0.003144107464490265","6","1.2175096823829326","No Review, Catalogue","0"
"113","0.0205467828522686","14","2","0","DER_AMERIKAMUEDE_noWikiID","1","4.2217028557827894E-4","4","0.5597585001967906","No Review, Catalogue","0"
"114","0.0205467828522686","6","1","1","DER_AMTMANN_VON_HOHENWEILER_noWikiID","1","4.2217028557827894E-4","11","1.3394901647007929","Review & Catalogue","1"
"115","0.0560723413501725","15","0","0","DER_APOSTEL_(HAUPTMANN)_Q28131950","0","0.003144107464490265","1","0.3298020839679585","No Review & No Catalogue","0"
"116","0.321481356814517","9","0","0","DER_ARME_SPIELMANN_Q1198306","0","0.1033502627793028","1","0.28482763971684055","No Review & No Catalogue","0"
"117","0.0851189742374057","2","0","1","DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283","0","0.0072452397752281366","5","1.1340955912941906","Review, No Catalogue","1"
"118","0.0645339993923284","8","1","0","DER_BAUERNSPIEGEL_noWikiID","1","0.004164637077569042","19","2.5077130327483683","No Review, Catalogue","0"
