,wikiname,variations,wikiID,tag,count
4982,FRANK_ORMSBY,['Frank Ormsby'],Q5488811,PERSON,4
4983,FRANK_R._STOCKTON,['Frank R. Stockton'],Q1444002,PERSON,1
4984,FRANK_TOUSEY,['Frank Tousey'],Q19881497,PERSON,1
4985,FRANK_VIZETELLY,['Vizetelly'],Q18526918,PERSON,1
4986,FRANK_WEDEKIND,['Frank Wedekind'],noWikiID,PERSON,1
4987,FRANS_MASEREEL,['Frans Masereel'],Q559297,PERSON,1
4988,FRANTZ_FANON,"['Frantz Fanon', 'Fanon']",Q193670,PERSON,28
4989,FRANZ_BRENTANO,['Franz Brentano'],noWikiID,PERSON,1
4990,FRANZ_JOSEPH_GALL,['Franz Joseph Gall'],Q57511,PERSON,2
4991,FRANZ_JOSEPH_I_OF_AUSTRIA,['Franz Josef'],Q51056,PERSON,1
4992,FRANZ_K._STANZEL,['Franz K. Stanzel'],noWikiID,PERSON,1
4993,FRANZ_KAFKA,['Franz Kafka'],noWikiID,PERSON,3
4994,FRANZ_KAISER,['Franz Kaiser'],Q64367,PERSON,2
4995,FRANZ_KEIM,['Franz Keim'],noWikiID,PERSON,1
4996,FRANZ_LISZT,['Liszt'],Q41309,PERSON,1
4997,FRANZ_PÖKLER,['Franz Pökler'],noWikiID,PERSON,2
4998,FRANÇOISE,['Françoise'],noWikiID,PERSON,1
4999,FRANÇOISE_BORT,['Françoise Bort'],noWikiID,PERSON,1
5000,FRANÇOISE_MOULY,['Mouly'],Q941550,PERSON,1
5001,FRANÇOIS_DE_LA_ROCHEFOUCAULD_(WRITER),['Rochefoucault'],Q273708,PERSON,1
5002,FRANÇOIS_FÉNELON,['Fénelon'],Q310002,PERSON,2
5003,FRANÇOIS_GUIZOT,['Guizot'],Q157324,PERSON,2
5004,FRANÇOIS_HOTMAN,['François Hotman'],Q561737,PERSON,1
5005,FRANÇOIS_RABELAIS,"['Rabelais', 'François Rabelais', 'Rabelaisian']",Q131018,PERSON,10
5006,FRANÇOIS_VILLON,['Villon'],Q849,PERSON,1
5007,FRASER_TYTLER,['Fraser Tytler'],noWikiID,PERSON,3
5008,FRAZIER,['Frazier'],noWikiID,PERSON,1
5009,FRECKLES,['Freckles'],noWikiID,PERSON,1
5010,FRED,['Fred'],noWikiID,PERSON,1
5011,FREDDIE_MONTGOMERY,['Freddie Montgomery'],noWikiID,PERSON,2
5012,FREDEMAN,['Fredeman'],noWikiID,PERSON,1
5013,FREDERIC,['Frederic'],noWikiID,PERSON,1
5014,FREDERICK,['Frederick'],noWikiID,PERSON,15
5015,FREDERICK_BURR_OPPER,['Frederick Burr Opper'],noWikiID,PERSON,1
5016,FREDERICK_BURWICK,['Frederick Burwick'],noWikiID,PERSON,1
5017,FREDERICK_DENISON_MAURICE,"['F.D. Maurice', 'F. D. Maurice']",Q961022,PERSON,3
5018,FREDERICK_EDWARD_JONES,['Frederick Jones'],Q16857763,PERSON,1
5019,FREDERICK_FAIRLIE,['Frederick Fairlie'],noWikiID,PERSON,2
5020,FREDERICK_FAUST,['Frederick Faust'],noWikiID,PERSON,1
5021,FREDERICK_FENEER,['Frederick Feneer'],noWikiID,PERSON,1
5022,FREDERICK_GREENWOOD,['Frederick Greenwood'],Q3087117,PERSON,1
5023,FREDERICK_HAMILTON-TEMPLE-BLACKWOOD_1ST_MARQUESS_OF_DUFFERIN_AND_AVA,['Frederick Blackwood'],Q336374,PERSON,1
5024,FREDERICK_HARPER,"['Frederick Harper', 'Fredrick Harper']",Q24060312,PERSON,2
5025,FREDERICK_HASTINGS,['Frederick Hastings'],Q5497977,PERSON,1
5026,FREDERICK_KNIGHT_HUNT,['Frederick Knight Hunt'],Q16994453,PERSON,1
5027,FREDERICK_LAMB_3RD_VISCOUNT_MELBOURNE,['Frederick Lamb'],Q5498235,PERSON,1
5028,FREDERICK_LLOYD,['Frederick Lloyd'],Q5498287,PERSON,1
5029,FREDERICK_LONSDALE,['Frederick Lonsdale'],noWikiID,PERSON,1
5030,FREDERICK_MARRYAT,"['Frederick Marryat', 'Marryat', 'Frederick] Marryat']",Q467770,PERSON,53
5031,FREDERICK_NIVEN,['Frederick Niven'],Q18911829,PERSON,1
5032,FREDERICK_NORTON_MANNING,['Frederick Manning'],Q5498479,PERSON,1
5033,FREDERICK_OAKLEY,['Frederick Oakley'],noWikiID,PERSON,1
5034,FREDERICK_POTTLE,['Frederick Pottle'],noWikiID,PERSON,1
5035,FREDERICK_PRINCE_OF_WALES,"['Frederick, Prince of Wales', 'Prince Frederick']",Q165349,PERSON,2
5036,FREDERICK_RICHARDS_LEYLAND,['Frederick Leyland'],Q5498622,PERSON,1
5037,FREDERICK_ROLFE,"['Frederick Rolfe', 'Nicholas Crabbe']",Q1289140,PERSON,4
5038,FREDERICK_RYAN,['Frederick Ryan'],Q5498675,PERSON,1
5039,FREDERICK_SODDY,"['Frederick Soddy', 'Soddy']",Q102830,PERSON,3
5040,FREDERICK_ST_JOHN_(BRITISH_ARMY_OFFICER),['Frederick St John'],Q16230500,PERSON,1
5041,FREDERICK_TATHAM,['Frederick Tatham'],Q5498834,PERSON,1
5042,FREDERICK_THE_GREAT,['Frederick the Great'],Q33550,PERSON,7
5043,FREDERICK_WALKER_(NATIVE_POLICE_COMMANDANT),['Frederick Walker'],Q5498975,PERSON,2
5044,FREDERICK_WALKER_(PAINTER),['Frederick Walker'],Q5498976,PERSON,1
5045,FREDERICK_WALLACE_EDWARDS,['Edwards'],Q3087180,PERSON,5
5046,FREDERICK_WARNE,['Frederick Warne'],Q18576201,PERSON,3
5047,FREDERICK_WEDMORE,['Frederick Wedmore'],Q5499013,PERSON,2
5048,FREDERICK_WEGENER,['Frederick Wegener'],noWikiID,PERSON,1
5049,FREDERICK_WICK,['Frederick Wick'],noWikiID,PERSON,1
5050,FREDERICK_WILLIAM_ROBINSON,['F. W. Robinson'],Q18527039,PERSON,1
5051,FREDERICK_WINSLOW_TAYLOR,"['Frederick Winslow Taylor', 'F. W. Taylor']",Q203906,PERSON,2
5052,FREDERIC_DELAMERE,['Frederic Delamere'],noWikiID,PERSON,1
5053,FREDERIC_FARRAR,['Frederic Farrar'],noWikiID,PERSON,1
5054,FREDERIC_G._KENYON,"['Frederic G. Kenyon', 'Kenyon']",Q683055,PERSON,4
5055,FREDERIC_GEORGE_STEPHENS,['F. G. Stephens'],Q2602435,PERSON,2
5056,FREDERIC_GUEST_TOMLINS,['Frederic Guest Tomlins'],noWikiID,PERSON,1
5057,FREDERIC_HARRISON,['Frederic Harrison'],Q347222,PERSON,4
5058,FREDERIC_JAMESON,['Frederic Jameson'],noWikiID,PERSON,1
5059,FREDERIC_LEIGHTON,['Frederic Leighton'],Q160252,PERSON,8
5060,FREDERIC_LINDSAY,"['Frederic Lindsay', 'Lindsay']",Q5497089,PERSON,3
5061,FREDERIC_MANNING,"['Frederic Manning', 'Manning', 'Frederick Manning']",Q1252799,PERSON,5
5062,FREDERIC_MOORE,['Moore'],Q2499856,PERSON,124
5063,FREDERIC_MYERS,['Frederic Myers'],Q5497103,PERSON,1
5064,FREDERIC_RAPHAEL,['Frederic Raphael'],noWikiID,PERSON,2
5065,FREDERIC_SHIELDS,['Frederic Shields'],Q2224305,PERSON,1
5066,FREDERIC_SHOBAL,['Frederic Shobal'],noWikiID,PERSON,1
5067,FREDERIC_VILLIERS,['Frederic Villiers'],Q3087079,PERSON,1
5068,FREDERIC_W._H._MYERS,"['Frederic W. H. Myers', 'F. W. H. Myers']",Q1336837,PERSON,6
5069,FREDERIK_ANDERSEN,['Andersen'],Q984048,PERSON,3
5070,FREDERIK_POHL,['Frederick Pohl'],Q312641,PERSON,1
5071,FREDRIC_JAMESON,['Fredric Jameson'],noWikiID,PERSON,25
5072,FRED_BOTTING,['Fred Botting'],noWikiID,PERSON,2
5073,FRED_D'AGUIAR,"[""Fred D'Aguiar""]",Q5494944,PERSON,3
5074,FRED_GIPSON,['Fred Gipson'],Q15512037,PERSON,1
5075,FRED_O'DONOVAN_(ACTOR),"[""Fred O'Donovan""]",Q110567917,PERSON,1
5076,FRED_O'DONOVAN_(THEATRE_PRODUCER),"[""Fred O'Donovan""]",Q5496015,PERSON,1
5077,FREEDGOOD,['Freedgood'],noWikiID,PERSON,1
5078,FREEMAN,['Freeman'],noWikiID,PERSON,8
5079,FREEMAN_WILLS_CROFTS,"['Freeman Wills Crofts', 'Crofts']",Q645074,PERSON,8
5080,FREEPORT,['Freeport'],noWikiID,PERSON,3
5081,FREETHINKING,['Freethinking'],noWikiID,PERSON,1
5082,FREEWOMAN,['Freewoman'],noWikiID,PERSON,1
5083,FREIRE,['Freire'],noWikiID,PERSON,1
5084,FREYA_JOHNSTON,['Freya Johnston'],noWikiID,PERSON,1
5085,FREYA_STARK,['Freya Stark'],Q292480,PERSON,1
5086,FRIEDA_GRAHAM,['Frieda Graham'],noWikiID,PERSON,1
5087,FRIEDA_LAWRENCE,['Frieda Weekley'],Q69447,PERSON,1
5088,FRIEDERICHS,['Friederichs'],noWikiID,PERSON,3
5089,FRIEDERICK_NIETZSCHE,['Friederick Nietzsche'],noWikiID,PERSON,1
5090,FRIEDRICH,['Friedrich'],noWikiID,PERSON,1
5091,FRIEDRICH_BERGMAN,['Friedrich Bergman'],noWikiID,PERSON,1
5092,FRIEDRICH_DE_LA_MOTTE_FOUQUÉ,['Friedrich de la Motte Fouqué'],Q77371,PERSON,1
5093,FRIEDRICH_DOLLMANN,['Dollmann'],Q57457,PERSON,1
5094,FRIEDRICH_ENGELS,"['Frederick Engels', 'Engels', 'Friedrich Engels', 'Frederick Engel']",Q34787,PERSON,18
5095,FRIEDRICH_GEORG_KLOPSTOCK,['Friedrich Georg Klopstock'],noWikiID,PERSON,1
5096,FRIEDRICH_GOTTLIEB_KLOPSTOCK,"['Klopstock', 'Friedrich Gottlieb Klopstock']",Q154367,PERSON,3
5097,FRIEDRICH_HÖLDERLIN,['Hölderlin'],Q75889,PERSON,3
5098,FRIEDRICH_KITTLER,['Friedrich Kittler'],noWikiID,PERSON,3
5099,FRIEDRICH_MAX,['Friedrich Max'],noWikiID,PERSON,1
5100,FRIEDRICH_MAX_M_ÜLLER,['Friedrich Max M üller'],noWikiID,PERSON,1
5101,FRIEDRICH_NIETZSCHE,"['Nietzsche', 'Friedrich Nietzsche', 'Nietzschean', 'Nietzchean']",Q9358,PERSON,66
5102,FRIEDRICH_SCHELLING,['Friedrich Schelling'],noWikiID,PERSON,3
5103,FRIEDRICH_SCHILLER,['Friedrich Schiller'],noWikiID,PERSON,2
5104,FRIEDRICH_SCHLEGEL,['Friedrich Schlegel'],noWikiID,PERSON,14
5105,FRIEDRICH_VON_GENTZ,['Friedrich von Gentz'],Q77476,PERSON,1
5106,FRIEDRICH_VON_KOTZEBUE,['Friedrich von Kotzebue'],noWikiID,PERSON,2
5107,FRIEDRICH_VON_SCHILLER,['Friedrich von Schiller'],noWikiID,PERSON,1
5108,FRIEL,['Friel'],noWikiID,PERSON,2
5109,FRITSCHNER,['Fritschner'],noWikiID,PERSON,1
5110,FRITZ_LANG,['Fritz Lang'],noWikiID,PERSON,1
5111,FROST,['Frost'],noWikiID,PERSON,15
5112,FROUDE,['Froude'],noWikiID,PERSON,15
5113,FROZEN,['Frozen'],noWikiID,PERSON,1
5114,FRY,['Fry'],noWikiID,PERSON,6
5115,FRYN_TENNYSON_JESSE,['Fryn Tennyson Jesse'],noWikiID,PERSON,1
5116,FR_ARNALL,['Fr Arnall'],noWikiID,PERSON,1
5117,FR_CONMEE,['Fr Conmee'],noWikiID,PERSON,1
5118,FR_EDWARD_O'CONNOR,"[""Fr Edward O'Connor""]",noWikiID,PERSON,1
5119,FR_JAMES_MAHON,['Fr James Mahon'],noWikiID,PERSON,1
5120,"FR_JEREMIAH_O'DONOVAN,_A_GALWAY_PRIEST","[""Fr Jeremiah O'Donovan, a Galway priest""]",noWikiID,PERSON,1
5121,FR_MAHON,['Fr Mahon'],noWikiID,PERSON,1
5122,FRÉDEŔIC_SORET,['Frédeŕic Soret'],noWikiID,PERSON,1
5123,FRÉDÉRIC_CHOPIN,['Chopin'],Q1268,PERSON,1
5124,FUCHS,['Fuchs'],noWikiID,PERSON,1
5125,FUGE,['Fuge'],noWikiID,PERSON,2
5126,FULBERT_OF_CAMBRAI,['Fulbert'],Q3073318,PERSON,1
5127,FULFORD,['Fulford'],noWikiID,PERSON,5
5128,FULKE_GREVILLE_1ST_BARON_BROOKE,['Fulke Greville'],Q2373798,PERSON,1
5129,FULLERTON,['Fullerton'],noWikiID,PERSON,1
5130,FURIOSOS,['Furiosos'],noWikiID,PERSON,1
5131,FURLONG,['Furlong'],noWikiID,PERSON,5
5132,FYGE,['Fyge'],noWikiID,PERSON,1
5133,FYODOR_DOSTOEVSKY,"['Dostoevsky', 'Dostoyevsky', 'Fyodor Dostoievsky', 'Fyodor Dostoevsky', 'Dostoievsky']",Q991,PERSON,22
5134,FYWELL,['Fywell'],noWikiID,PERSON,2
5135,FÉIRÍN,['Féirín'],noWikiID,PERSON,1
5136,FÉLIX_DUJARDIN,['Dujardin'],Q1355541,PERSON,1
5137,FÉLIX_GUATTARI,"['Felix Guattari', 'Guattari']",Q352465,PERSON,3
5138,FÉNIUS_FARSAID,['Fénius Farsaid'],noWikiID,PERSON,1
5139,FÍANNA,['Fíanna'],noWikiID,PERSON,1
5140,FÍNGHIN_MAC_DONNCHA_MAC_CARTHAIG,['Florence MacCarthy'],Q5460691,PERSON,1
5141,FÍS_ADAMNÁIN,['Fís Adamnáin'],noWikiID,PERSON,3
5142,FÍS_DHEIREANACH_EOGHAIN_RUA_UÍ_SHÚILLEABHÁIN,['Fís Dheireanach Eoghain Rua Uí Shúilleabháin'],noWikiID,PERSON,1
5143,G._A._HENTY,"['G. A. Henty', 'George Henty', 'George Alfred Henty', 'Beric the Briton: A Story of the Roman Invasion']",Q639274,PERSON,12
5144,G._B._SHAW,['G. B. Shaw'],noWikiID,PERSON,4
5145,G._C._DUGGAN,['G. C. Duggan'],noWikiID,PERSON,1
5146,G._C._V._O.,['G. C. V. O.'],noWikiID,PERSON,1
5147,G._D._H.,['G. D. H.'],noWikiID,PERSON,1
5148,G._D._H._COLE,['G. D. H. Cole'],Q3044933,PERSON,1
5149,G._E._MINGAY,['G. E. Mingay'],Q104172704,PERSON,1
5150,G._F._BOYLE,['G. F. Boyle'],noWikiID,PERSON,1
5151,G._G.,['G. G.'],noWikiID,PERSON,1
5152,G._GABRIELLE_STARR,['G. Gabrielle Starr'],noWikiID,PERSON,2
5153,G._GORDON_SMITH,['G. Gordon Smith'],noWikiID,PERSON,1
5154,G._H._MACDERMOTT,['G. H. Macdermott'],noWikiID,PERSON,1
5155,G._H._PERRIS,['G. H. Perris'],noWikiID,PERSON,1
5156,G._I._TAYLOR,['Geoffrey Taylor'],Q699541,PERSON,2
5157,G._J._BARKER-BENFIELD,['G. J. Barker-Benfield'],noWikiID,PERSON,1
5158,G._K._CHESTERTON,['G. K. Chesterton'],noWikiID,PERSON,11
5159,G._M._TREVELYAN,['G. M. Trevelyan'],Q1373357,PERSON,2
5160,G._M._YOUNG,['G. M. Young'],Q5512352,PERSON,1
5161,G._R._LEWIS,['G. R. Lewis'],noWikiID,PERSON,1
5162,G._ROSS_ROY,['G. Ross Roy'],Q42181852,PERSON,1
5163,G._S._FRASER,['G. S. Fraser'],noWikiID,PERSON,4
5164,G._V._DESANI,"['G. V. Desani', 'Desani']",Q1565590,PERSON,13
5165,G._W._F._HEGEL,['G. W. F. Hegel'],noWikiID,PERSON,2
5166,G._W._HEGEL,['G. W. Hegel'],noWikiID,PERSON,1
5167,G._W._HUNT,['G. W. Hunt'],Q99520807,PERSON,1
5168,G._W._PABST,['G. W. Pabst'],noWikiID,PERSON,2
5169,GABHAIM,['Gabhaim'],noWikiID,PERSON,1
5170,GABHAM,['Gabham'],noWikiID,PERSON,1
5171,GABRIELE_D'ANNUNZIO,"[""Gabriele D'Annunzio""]",noWikiID,PERSON,1
5172,GABRIELE_ROSSETTI,['Rossetti'],Q1490588,PERSON,16
5173,GABRIELE_SCHWAB,['Gabriele Schwab'],noWikiID,PERSON,2
5174,GABRIELLE_D'ANNUNZIO,"[""Gabrielle d'Annunzio""]",noWikiID,PERSON,1
5175,GABRIELLE_STARR,"['Gabrielle Starr', 'Starr']",noWikiID,PERSON,4
5176,GABRIEL_BETTEREDGE,['Gabriel Betteredge'],noWikiID,PERSON,1
5177,GABRIEL_CONROY,['Gabriel Conroy'],noWikiID,PERSON,4
5178,GABRIEL_D'ANNUNZIO,"[""Gabriel D'Annunzio""]",noWikiID,PERSON,1
5179,GABRIEL_DE_BREMOND,['Gabriel de Bremond'],noWikiID,PERSON,1
5180,GABRIEL_GALLOWAY,['Gabriel Galloway'],noWikiID,PERSON,2
5181,GABRIEL_GARCIA_MARQUEZ,['Gabriel Garcia Marquez'],noWikiID,PERSON,2
5182,GABRIEL_GARCIÁ_MAŔQUEZ,['Gabriel Garcıá Maŕquez'],noWikiID,PERSON,1
5183,GABRIEL_JOSEPH_DE_LAVERGNE,['Gabriel Joseph de Lavergne'],noWikiID,PERSON,1
5184,GABRIEL_JOSIPOVICI,['Gabriel Josipovici'],Q535682,PERSON,5
5185,GABRIEL_OAK,['Gabriel Oak'],noWikiID,PERSON,3
5186,GABRIEL_PIOZZI,['Gabriel Piozzi'],noWikiID,PERSON,4
5187,GABRIEL_ROSENSTOCK,['Gabriel Rosenstock'],Q740838,PERSON,10
5188,GABRIEL_TARDE,['Gabriel Tarde'],Q315372,PERSON,1
5189,GAEDHEAL,['Gaedheal'],noWikiID,PERSON,1
5190,GAEDHILGE:_AN_INTRODUCTION_TO_THE_IRISH_LANGUAGE,['Gaedhilge: An Introduction to the Irish Language'],noWikiID,PERSON,1
5191,GAEILGEOIRÍ,['Gaeilgeoirí'],noWikiID,PERSON,2
5192,GAEL_TURNBULL,['Gael Turnbull'],Q5516589,PERSON,3
5193,GAETANO_DONIZETTI,['Donizetti'],Q101698,PERSON,1
5194,GAIL_MARSHALL,['GAIL MARSHALL'],noWikiID,PERSON,1
5195,GAIRN,['Gairn'],noWikiID,PERSON,2
5196,GAIUS_VERRES,['Verres'],Q368219,PERSON,1
5197,GALAPAGOS,['Galapagos'],noWikiID,PERSON,1
5198,GALBRAITH,['Galbraith'],noWikiID,PERSON,1
5199,GALE,['Gale'],noWikiID,PERSON,1
5200,GALEN,['Galen'],Q8778,PERSON,1
5201,GALILEO,['Galileo'],noWikiID,PERSON,3
5202,GALILEO_GALILEI,['Galileo Galilei'],noWikiID,PERSON,1
5203,GALL,['Gall'],noWikiID,PERSON,1
5204,GALLAGHER_(COMEDIAN),['Gallagher'],Q5518822,PERSON,6
5205,GALLAHER,['Gallaher'],noWikiID,PERSON,1
5206,GALLAIB,['Gallaib'],noWikiID,PERSON,2
5207,GALLOWAY_KYLE,['Galloway Kyle'],noWikiID,PERSON,1
5208,GALSWORTHY,['Galsworthy'],noWikiID,PERSON,50
5209,GALT,['Galt'],noWikiID,PERSON,54
5210,GALVANI,['Galvani'],noWikiID,PERSON,4
5211,GAMMON,['Gammon'],noWikiID,PERSON,1
5212,GAN_DO_CHUID_ÉADAIGH,['Gan do Chuid Éadaigh'],noWikiID,PERSON,1
5213,GARCHA,['Garcha'],noWikiID,PERSON,4
5214,GARCIA_MARQUEZ,['Garcia Marquez'],noWikiID,PERSON,4
5215,GARDENERS,['Gardeners'],noWikiID,PERSON,1
5216,GARDINER,['Gardiner'],noWikiID,PERSON,2
5217,GARETH_GRIFFITHS_(ACADEMIC),"['Gareth Griffiths', 'Griffiths']",Q5522849,PERSON,8
5218,GARGI_BHATTACHARYYA,['Gargi Bhattacharyya'],Q57904009,PERSON,1
5219,GARLAND_OF_LAURELL,['Garlande of Laurell'],noWikiID,PERSON,1
5220,GARNETHILL,['Garnethill'],noWikiID,PERSON,1
5221,GARNETT,['Garnett'],noWikiID,PERSON,2
5222,GARRETT_STEWART,['Garrett Stewart'],noWikiID,PERSON,2
5223,GARRY_HYNES,['Garry Hynes'],Q5524154,PERSON,2
5224,GARRY_KILWORTH,['Garry Kilworth'],Q3098488,PERSON,2
5225,GARY_D._SCHMIDT,['Gary D. Schmidt'],Q5524939,PERSON,1
5226,GARY_INDIANA,['Gary Indiana'],Q5525290,PERSON,2
5227,GARY_KELLY_(BOWLS),"['GARY KELLY', 'Gary Kelly']",Q27830945,PERSON,7
5228,GARY_MITCHELL,['Gary Mitchell'],noWikiID,PERSON,1
5229,GARY_PANTER,['Gary Panter'],Q1351201,PERSON,1
5230,GARY_RAYMOND,['Gary Raymond'],Q345763,PERSON,1
5231,GARY_SCHNEIDER,['Gary Schneider'],Q5525893,PERSON,1
5232,GARY_SHEFFIELD,"['Gary Sheffield', 'Sheffield']",noWikiID,PERSON,2
5233,GASCOYNE,['Gascoyne'],noWikiID,PERSON,14
5234,GASIOREK,['Andrjez Gasiorek'],noWikiID,PERSON,1
5235,GASKELL,['Gaskell'],noWikiID,PERSON,1
5236,GASKILL,['Gaskill'],noWikiID,PERSON,1
5237,GASS,['Gass'],noWikiID,PERSON,1
5238,GASTON_BACHELARD,['Gaston Bachelard'],noWikiID,PERSON,2
5239,GASTON_DE_LANCY,['Gaston de Lancy'],noWikiID,PERSON,1
5240,GASTON_DE_LATOUR,['Gaston de Latour'],noWikiID,PERSON,1
5241,GASTRELL,['Gastrell'],noWikiID,PERSON,1
5242,GASÚR_DE_CHUID_BHAILE_NA_NGRÁG,['Gasúr de Chuid Bhaile na nGrág'],noWikiID,PERSON,1
5243,GATES,['Gates'],noWikiID,PERSON,1
5244,GATLING,['Gatling'],noWikiID,PERSON,1
5245,GAULOIS,['Gaulois'],noWikiID,PERSON,1
5246,GAUTIER_LE_LEU,['Gautier'],Q5527929,PERSON,1
5247,GAVIN,['Gavin'],noWikiID,PERSON,1
5248,GAVIN_BURKE,['Gavin Burke'],noWikiID,PERSON,1
5249,GAVIN_DOUGLAS,['Gavin Douglas'],noWikiID,PERSON,10
5250,GAVIN_EWART,['Gavin Ewart'],Q5528137,PERSON,2
5251,GAVIN_HAMILTON,['Gavin Hamilton'],noWikiID,PERSON,3
5252,GAVIN_SELERIE,['Gavin Selerie'],noWikiID,PERSON,1
5253,GAWD,['Gawd'],noWikiID,PERSON,1
5254,GAYATRI_CHAKRAVORTY_SPIVAK,['Gayatri Chakravorty Spivak'],noWikiID,PERSON,3
5255,GAYATRI_SPIVAK,['Gayatri Spivak'],noWikiID,PERSON,11
5256,GAYE_TUCHMAN,['Gaye Tuchman'],noWikiID,PERSON,3
5257,GEARÓID_MAC_LOCHLAINN,['Gearóid Mac Lochlainn'],noWikiID,PERSON,1
5258,GED,['Ged'],noWikiID,PERSON,1
5259,GEILTE_MNÁ,['Geilte Mná'],noWikiID,PERSON,1
5260,GELETT_BURGESS,['Gelett Burgess'],Q15998059,PERSON,1
5261,GEMMA_JONES_(SAILOR),['Gemma'],Q26236524,PERSON,1
5262,GEMMA_MALLEY,['Gemma Malley'],noWikiID,PERSON,1
5263,GEMMA_ROBINSON,['Gemma Robinson'],noWikiID,PERSON,1
5264,GENERALISATIONS,['Generalisations'],noWikiID,PERSON,1
5265,GENERAL_GORDON,['General Gordon'],noWikiID,PERSON,1
5266,GENET,['Genet'],noWikiID,PERSON,1
5267,GENEVIÈVE_MARSH-MICHELI,['Geneviève Marsh-Micheli'],noWikiID,PERSON,1
5268,GENE_KEMP,['Gene Kemp'],Q4958534,PERSON,1
5269,GENNADY_SPIRIN,['Gennady Spirin'],Q1502370,PERSON,2
5270,GEOFFERY_BRAITHWAITE,['Geoffery Braithwaite'],noWikiID,PERSON,1
5271,GEOFFREY_(_JOFROI,['Geoffrey ( Jofroi'],noWikiID,PERSON,1
5272,GEOFFREY_AUSTIN,['Geoffrey Austin'],Q5534427,PERSON,3
5273,GEOFFREY_CHAUCER,"['Geoffrey Chaucer', 'Chaucer']",Q5683,PERSON,115
5274,GEOFFREY_FENTON,['Sir Geoffrey Fenton'],Q1502972,PERSON,1
5275,GEOFFREY_GALT_HARPHAM,['Geoffrey Galt Harpham'],noWikiID,PERSON,1
5276,GEOFFREY_GOLDEN,['Geoffrey Golden'],Q21064390,PERSON,2
5277,GEOFFREY_GRIGSON,"['Geoffrey Grigson', 'Grigson']",Q5534642,PERSON,6
5278,GEOFFREY_HARTMAN,['Geoffrey Hartman'],noWikiID,PERSON,5
5279,GEOFFREY_HILL,['Geoffrey Hill'],noWikiID,PERSON,8
5280,GEOFFREY_II_DUKE_OF_BRITTANY,['Geoffrey'],Q314550,PERSON,5
5281,GEOFFREY_KEATING,"['Geoffrey Keating', 'Seathrún Céitinn', 'Céitinn', 'Keating']",Q733922,PERSON,18
5282,GEOFFREY_MORTIMER,['Geoffrey Mortimer'],noWikiID,PERSON,1
5283,GEOFFREY_PHIBBS,['Geoffrey Phibbs'],Q5534825,PERSON,2
5284,GEOFFREY_SCOTT_(ARCHITECTURAL_HISTORIAN),['Geoffrey Scott'],Q3760229,PERSON,2
5285,GEOFFREY_SQUIRES,['Geoffrey Squires'],Q5534909,PERSON,1
5286,GEOFFREY_STREATFEILD_(JUDGE),['Streatfeild'],Q106763001,PERSON,2
5287,GEOFFREY_SUMMERFIELD,['Geoffrey Summerfield'],noWikiID,PERSON,2
5288,GEOFFREY_TREASE,['Geoffrey Trease'],Q725421,PERSON,2
5289,GEOFFREY_WAGNER,['Geoffrey Wagner'],noWikiID,PERSON,1
5290,GEOFF_RYMAN,['Geoff Ryman'],Q940958,PERSON,1
5291,GEOF_ISHERWOOD,['Isherwood'],Q5534010,PERSON,5
5292,GEORGE,['George'],noWikiID,PERSON,23
5293,GEORGES-DENIS_ZIMMERMANN,['Georges-Denis Zimmermann'],noWikiID,PERSON,1
5294,GEORGES-LOUIS_LECLERC_COMTE_DE_BUFFON,['Buffon'],Q229264,PERSON,2
5295,GEORGES_BATAILLE,['Georges Bataille'],Q207359,PERSON,1
5296,GEORGES_BRAQUE,['Georges Braque'],Q153793,PERSON,3
5297,GEORGES_CUVIER,['Georges Cuvier'],noWikiID,PERSON,1
5298,GEORGES_DANTON,['Danton'],Q184623,PERSON,1
5299,GEORGES_DE_SCUDÉRY,['Scudéry'],Q772240,PERSON,1
5300,GEORGES_DE_THEMSECKE,['Georges de Themsecke'],noWikiID,PERSON,1
5301,GEORGES_DUTHUIT,['Georges Duthuit'],Q3102668,PERSON,1
5302,GEORGES_HUGNET,['Georges Hugnet'],Q458721,PERSON,1
5303,GEORGES_MOULY,['Mouly'],Q3103238,PERSON,2
5304,GEORGES_PEREC,['George Perec'],Q157303,PERSON,1
5305,GEORGES_SOREL,"['Georges Sorel', 'Sorel']",Q313666,PERSON,3
5306,GEORGETTE_HEYER,['Georgette Heyer'],Q272706,PERSON,2
5307,GEORGE_A._BIRMINGHAM,"['George C. Birmingham', 'George A. Birmingham']",Q5535927,PERSON,2
5308,GEORGE_ABRAHAM_GRIERSON,['Grierson'],Q2095378,PERSON,2
5309,GEORGE_ACORN,['George Acorn'],noWikiID,PERSON,1
5310,GEORGE_ALEXANDER_BALLARD,['George Ballard'],Q3101380,PERSON,2
5311,GEORGE_ALLAN_ENGLAND,['George Allan England'],Q4200617,PERSON,1
5312,GEORGE_ALMAR,['George Almar'],noWikiID,PERSON,2
5313,GEORGE_ANSON'SAVOYAGE,"[""George Anson'sAVoyage""]",noWikiID,PERSON,1
5314,GEORGE_ANSON_(BRITISH_ARMY_OFFICER_BORN_1797),['George Anson'],Q1506864,PERSON,1
5315,GEORGE_AUGUSTUS_SALA,"['George Sala', 'George Augustus Sala', 'G. A. Sala']",Q5536500,PERSON,6
5316,GEORGE_AUSTEN_(CLERGYMAN),['George Austen'],Q3101397,PERSON,1
