"louvain","","canonisation_score","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","pagerank","indegree","class","reviews_binary"
"14","106","0.135806373618849","2","0","COUSIN_PHILLIS_noWikiID","1","0.018443371115502406","0.47034559952491295","3","No Review, Catalogue","0"
"14","107","0.227753497177042","2","1","CRANFORD_(NOVEL)_Q265100","1","0.051871655476372874","1.6856448539078202","9","Review & Catalogue","1"
"11","108","0.0477757206414661","2","1","CROTCHET_CASTLE_Q5188976","1","0.0022825194828114104","0.2931847406772396","1","Review & Catalogue","1"
"7","109","0.69722573995813","1","7","DANIEL_DERONDA_Q552238","1","0.4861237324601619","1.8684791491083903","8","Review & Catalogue","1"
"0","110","0.0477757206414661","1","0","DAUGHTERS_OF_MEN_noWikiID","1","0.0022825194828114104","0.2535675082327113","1","No Review, Catalogue","0"
"4","111","0.46129393099787","2","0","DAVID_COPPERFIELD_Q189811","1","0.21279209077546768","4.706267079832227","20","No Review, Catalogue","0"
"2","112","0.117501066676145","2","1","DAVID_ELGINBROD_Q5233331","1","0.013806500670031873","0.6114892904740223","3","Review & Catalogue","1"
"11","113","0.154263355437284","0","0","DE_PROFUNDIS_(LETTER)_Q1249459","0","0.02379718283076982","0.7185320981957185","3","No Review & No Catalogue","0"
"4","114","0.117501066676145","2","1","DEERBROOK_noWikiID","1","0.013806500670031873","2.115188977614914","7","Review & Catalogue","1"
"0","115","0.0543008598413405","1","1","DEMOS_noWikiID","1","0.002948583379508905","1.1291845851304105","7","Review & Catalogue","1"
"4","116","0.30372380755444","2","1","DESPERATE_REMEDIES_Q2846293","1","0.09224815127536651","0.4348609460389194","2","Review & Catalogue","1"
"0","117","0.11291791638611","1","0","DIANA_OF_THE_CROSSWAYS_Q5271362","1","0.012750455840980529","0.3655323819978046","1","No Review, Catalogue","0"
"1","118","0.0543008598413405","1","1","DISCIPLINE_noWikiID","1","0.002948583379508905","2.7788837096619714","13","Review & Catalogue","1"
"0","119","0.294299317623214","1","1","DOCTOR_THORNE_noWikiID","1","0.0866120883534894","2.438725773948036","12","Review & Catalogue","1"
"4","120","0.594948283367066","2","1","DOMBEY_AND_SON_Q963659","1","0.3539634598814186","3.854906264808919","20","Review & Catalogue","1"
"4","122","0.964677124546833","1","1","DRACULA_Q41542","1","0.9306019546239459","0.20514319111630624","1","Review & Catalogue","1"
"12","123","0.0477757206414661","1","0","DREAMERS_OF_THE_GHETTO_noWikiID","1","0.0022825194828114104","1.3155812918614682","4","No Review, Catalogue","0"
"5","124","0.797979883708377","0","0","DUBLINERS_Q459592","0","0.6367718948032349","0.7096013919986242","3","No Review & No Catalogue","0"
"4","125","0.498261873505709","2","0","EAST_LYNNE_Q5328900","1","0.24826489458941917","0.9612323529428008","4","No Review, Catalogue","0"
"13","126","0.677911265542429","3","0","EMMA_(NOVEL)_Q223880","1","0.45956368394933766","2.2350977072815486","15","No Review, Catalogue","0"
"1","127","0.049863479389024","1","1","EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID","1","0.0024863665767796217","0.39071619580148553","2","Review & Catalogue","1"
"1","128","0.137472234822425","1","1","EMMELINE_Q5373421","1","0.01889861534707196","2.0228807808399747","8","Review & Catalogue","1"
"4","129","0.117501066676145","0","0","ENNUI_Q117149111","0","0.013806500670031873","1.3943225081830475","7","No Review & No Catalogue","0"
"11","130","0.0699415703280632","1","1","EREWHON_Q1350048","1","0.0048918232599554105","1.460054716271045","7","Review & Catalogue","1"
"4","131","0.0477757206414661","1","0","EREWHON_REVISITED_Q5385740","1","0.0022825194828114104","0.3243717124488603","1","No Review, Catalogue","0"
"4","132","0.0543008598413405","2","0","ERIC_OR_LITTLE_BY_LITTLE_Q5385958","1","0.002948583379508905","0.15","0","No Review, Catalogue","0"
"14","133","0.0477757206414661","0","0","ESTHER_noWikiID","0","0.0022825194828114104","1.3854360230911766","9","No Review & No Catalogue","0"
"4","134","0.285047546124646","1","1","ESTHER_WATERS_Q5401319","1","0.08125210355168219","0.8675658026230635","4","Review & Catalogue","1"
"1","135","0.0477757206414661","2","1","EUGENE_ARAM_(NOVEL)_Q16385636","1","0.0022825194828114104","0.4480110126191602","5","Review & Catalogue","1"
"1","136","0.57979506909561","2","2","EVELINA_Q1635110","1","0.3361623221475831","2.36674603360758","13","Review & Catalogue","1"
"8","137","0.0543008598413405","1","0","EVENINGS_AT_HOME_Q5416654","1","0.002948583379508905","0.309345968872499","1","No Review, Catalogue","0"
"15","138","0.11291791638611","0","0","EXILUS_noWikiID","0","0.012750455840980529","1.7421910067472095","12","No Review & No Catalogue","0"
"4","139","0.049863479389024","0","0","FANNY_HILL_Q1395765","0","0.0024863665767796217","0.15","0","No Review & No Catalogue","0"
"15","140","0.11291791638611","0","0","FANTOMINA_Q5434405","0","0.012750455840980529","0.7085729886385597","4","No Review & No Catalogue","0"
"7","141","0.323070787610778","1","1","FAR_FROM_THE_MADDING_CROWD_Q5642996","1","0.10437473380744844","0.8344750552684348","7","Review & Catalogue","1"
"0","142","0.0543008598413405","1","1","FARDOROUGHA_THE_MISER_noWikiID","1","0.002948583379508905","0.30724568856996953","2","Review & Catalogue","1"
"0","143","0.154263355437284","2","1","FELIX_HOLT_THE_RADICAL_Q5442230","1","0.02379718283076982","0.6190507542897576","4","Review & Catalogue","1"
