"","circl_sum","Text","canonisation_score","reviews_sum","id","circl_binary","betweenness","indegree","pagerank","class","reviews_binary"
"531","1","THE_ODD_WOMEN_Q7754692","0.323070787610778","1","173","1","2666.7298877393587","13","2.368547923843328","Review & Catalogue","1"
"413","1","THE_EXPERIENCES_OF_LOVEDAY_BROOKE,_LADY_DETECTIVE_noWikiID","0.049863479389024","0","174","1","123.44476105593753","3","0.4321899331968895","No Review, Catalogue","0"
"12","0","A_JOURNEY_FROM_THIS_WORLD_TO_THE_NEXT_noWikiID","0.11291791638611","0","175","0","0","0","0.15","No Review & No Catalogue","0"
"147","1","FORTUNATE_FOUNDLINGS_noWikiID","0.11291791638611","0","176","1","6616.943172816536","2","0.27521495343375874","No Review, Catalogue","0"
"188","1","JONATHAN_WILD_noWikiID","0.30372380755444","0","177","1","833.7590294108834","3","0.31297757013956495","No Review, Catalogue","0"
"58","2","ANNALS_OF_THE_PARISH_Q4767877","0.172694745758032","1","178","1","49.845102256256936","2","0.24704166666666666","Review & Catalogue","1"
"442","2","THE_HEART_OF_MIDLOTHIAN_Q2091094","0.395337204568379","0","179","1","565.2483777086667","9","2.1033491439832415","No Review, Catalogue","0"
"153","2","GREAT_EXPECTATIONS_Q219552","0.706633180000831","1","18","1","29211.59487432362","5","1.7647659069984378","Review & Catalogue","1"
"368","2","THE_BLACK_DWARF_noWikiID","0.132226821715085","3","180","1","413.80614819171325","4","2.2719169554341203","Review & Catalogue","1"
"109","1","DANIEL_DERONDA_Q552238","0.69722573995813","7","181","1","15294.792080318148","5","2.4694108294378707","Review & Catalogue","1"
"621","1","THE_WAY_WE_LIVE_NOW_Q7773866","0.16636459934805","1","182","1","639.6799711904491","5","3.9102475810670168","Review & Catalogue","1"
"161","2","HE_KNEW_HE_WAS_RIGHT_noWikiID","0.353247063375283","0","183","1","26877.171082598776","12","6.427532731320128","No Review, Catalogue","0"
"2","1","A_CHILD_OF_THE_JAGO_Q4655860","0.158330619297716","1","184","1","0","0","0.15","Review & Catalogue","1"
"134","1","ESTHER_WATERS_Q5401319","0.285047546124646","1","185","1","811.4575978542966","3","0.6556468423069869","Review & Catalogue","1"
"589","0","THE_STORY_OF_MY_HEART_Q7766776","0.117501066676145","0","186","0","284.7789779647054","3","0.4117494127176131","No Review & No Catalogue","0"
"37","1","ACROSS_THE_ZODIAC_Q4676516","0.0477757206414661","0","187","1","10878.922281877263","4","0.7516648162312785","No Review, Catalogue","0"
"358","0","THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD_noWikiID","0.141170686071351","0","188","0","112.29887145865408","1","0.2666623336033237","No Review & No Catalogue","0"
"663","0","VRIL_Q510699","0.0591085593605752","0","189","0","4273.838653895985","5","0.810979267011855","No Review & No Catalogue","0"
"252","2","NO_NAME_(NOVEL)_Q7044605","0.343042979973045","1","19","1","1505.1913197923977","7","3.9649790387936514","Review & Catalogue","1"
"492","1","THE_LITTLE_LAME_PRINCE_AND_HIS_TRAVELLING_CLOAK_Q7747642","0.11291791638611","0","190","1","248.99999999999997","1","0.1925","No Review, Catalogue","0"
"297","0","ROOKWOOD_(NOVEL)_Q7366231","0.049863479389024","1","191","0","1216.3016807708088","6","3.082327435165581","Review, No Catalogue","1"
"420","0","THE_FIDDLER_OF_THE_REELS_Q2288667","0.11291791638611","0","192","0","48.38875959809463","1","0.28364181590149173","No Review & No Catalogue","0"
"363","0","THE_BEACH_OF_FALESA_Q7715970","0.148487553986026","0","193","0","10307.150986517398","6","0.8393992216342023","No Review & No Catalogue","0"
"280","1","PLAIN_TALES_FROM_THE_HILLS_Q3484772","0.313316107488017","0","194","1","1095.9384505294915","3","0.45879705474810717","No Review, Catalogue","0"
"285","1","PUCK_OF_POOK'S_HILL_Q4342308","0.117501066676145","0","195","1","1056.685503967683","1","0.2440784722222222","No Review, Catalogue","0"
"213","1","LOVE_AMONG_THE_RUINS_noWikiID","0.049863479389024","0","196","1","249.79971093210824","4","0.37073890046296293","No Review, Catalogue","0"
"195","1","KIM_(NOVEL)_Q589868","0.68764997588443","1","197","1","85.18405386099221","1","0.21915556712962964","Review & Catalogue","1"
"508","0","THE_MERCENARY_LOVER_noWikiID","0.0477757206414661","0","198","0","0","0","0.15","No Review & No Catalogue","0"
"317","1","SIR_NIGEL_Q1963997","0.11291791638611","0","199","1","369.2011904761905","1","0.1925","No Review, Catalogue","0"
"84","1","CASTLE_RICHMOND_Q5050241","0.117501066676145","1","2","1","3363.9911460885605","8","3.9745061573326175","Review & Catalogue","1"
"199","2","LADY_AUDLEY'S_SECRET_Q2738351","0.769791600120154","1","20","1","193.72550137673477","5","0.6690621972844364","Review & Catalogue","1"
"679","0","ZULEIKA_DOBSON_Q8075113","0.049863479389024","1","200","0","29.357142857142854","1","0.1925","Review, No Catalogue","1"
"303","0","SANDERS_OF_THE_RIVER_noWikiID","0.049863479389024","0","201","0","837.2788739510271","4","0.3320416666666666","No Review & No Catalogue","0"
"369","1","THE_BLACK_PROPHET_noWikiID","0.0670724962784257","1","202","1","681.0054609740736","5","0.9623471188061905","Review & Catalogue","1"
"224","2","MARTIN_CHUZZLEWIT_Q1903609","0.395337204568379","1","203","1","12693.606061541108","12","6.5265048081508255","Review & Catalogue","1"
"142","1","FARDOROUGHA_THE_MISER_noWikiID","0.0543008598413405","1","204","1","371.330415032135","2","0.47720668366175395","Review & Catalogue","1"
"669","1","WHAT_MAISIE_KNEW_Q2943614","0.323070787610778","0","205","1","775.9088250722523","3","0.7407048232344731","No Review, Catalogue","0"
"560","1","THE_REAL_CHARLOTTE_noWikiID","0.0670724962784257","1","206","1","101.49956863398039","2","0.5697327331662014","Review & Catalogue","1"
"238","1","MILLENIUM_HALL_Q6858753","0.0520374856859669","0","207","1","1339.055866189855","6","2.4867302474534236","No Review, Catalogue","0"
"530","2","THE_O'DONOGHUE_noWikiID","0.0477757206414661","1","208","1","3102.5967625200888","10","2.6816991689219436","Review & Catalogue","1"
"605","2","THE_TOWER_OF_LONDON_(NOVEL)_Q2414713","0.0477757206414661","1","209","1","154.14008855261653","2","1.1725557733123568","Review & Catalogue","1"
"346","2","THE_ADVENTURES_OF_HAJJI_BABA_noWikiID","0.049863479389024","2","21","1","755.9870785735997","2","1.8242007597048233","Review & Catalogue","1"
"114","2","DEERBROOK_noWikiID","0.117501066676145","1","210","1","21873.40986960931","5","2.270263279854622","Review & Catalogue","1"
"100","1","CONFESSIONS_OF_A_THUG_(NOVEL)_Q5160036","0.0566567958260902","1","211","1","8213.067255074408","4","1.3980382896036434","Review & Catalogue","1"
"545","2","THE_PIRATE_(NOVEL)_Q3225628","0.127152048513252","0","212","1","0","0","0.15","No Review, Catalogue","0"
"512","3","THE_MONASTERY_Q3224650","0.122244604531682","2","213","1","49.890291220576444","4","1.0840255590368755","Review & Catalogue","1"
"341","3","THE_ABBOT_Q2717772","0.122244604531682","2","214","1","1010.9874104491563","6","2.1142748760170353","Review & Catalogue","1"
"372","2","THE_BRIDE_OF_LAMMERMOOR_Q2659725","0.384640372733741","0","215","1","461.6621555581965","5","2.104578714138871","No Review, Catalogue","0"
"298","0","ROXANA_Q3825485","0.68764997588443","1","216","0","1105.4036957100013","3","1.7885586822921957","Review, No Catalogue","1"
"239","0","MOLL_FLANDERS_Q612523","0.605736576985184","0","217","0","3329.791490076873","2","1.591544075982414","No Review & No Catalogue","0"
"449","0","THE_HISTORY_AND_REMARKABLE_LIFE_OF_THE_TRULY_HONOURABLE_COL_noWikiID","0.11291791638611","0","218","0","3339.390092351791","4","1.7291643586963956","No Review & No Catalogue","0"
"11","0","A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399","0.374053924716987","0","219","0","448.59427037441856","1","0.6567582933161221","No Review & No Catalogue","0"
"656","0","VALPERGA_noWikiID","0.0477757206414661","2","22","0","786.0089948487548","3","1.262362235858239","Review, No Catalogue","1"
"465","0","THE_HOUSE_ON_THE_BORDERLAND_Q740473","0.117501066676145","0","220","0","0","0","0.15","No Review & No Catalogue","0"
"422","1","THE_FIRST_MEN_IN_THE_MOON_Q1218232","0.30372380755444","1","221","1","2644.013850777546","6","0.853264088188333","Review & Catalogue","1"
"448","0","THE_HILL_OF_DREAMS_Q1394147","0.117501066676145","0","222","0","357.2119345751388","2","0.235","No Review & No Catalogue","0"
"136","2","EVELINA_Q1635110","0.57979506909561","2","223","1","16577.19231021654","8","3.8422528047019684","Review & Catalogue","1"
"607","0","THE_TRIUMPH_OF_PRUDENCE_OVER_PASSION_noWikiID","0.049863479389024","0","224","0","1906.50351972981","4","1.4860697952288506","No Review & No Catalogue","0"
"380","1","THE_CAXTONS_Q16385244","0.0477757206414661","1","225","1","1968.728759874895","2","0.48330608175203144","Review & Catalogue","1"
"183","2","JANE_EYRE_Q182961","0.993700367636865","1","226","1","21646.987231714942","8","3.5742617877962304","Review & Catalogue","1"
"377","4","THE_CASTLE_OF_OTRANTO_Q548576","0.913959841960442","0","227","1","8403.81656302282","1","0.500947516821908","No Review, Catalogue","0"
"208","0","LONGSWORD_(NOVEL)_Q104859091","0.0520374856859669","0","228","0","7814.034381607749","1","0.2919351297662073","No Review & No Catalogue","0"
"458","0","THE_HISTORY_OF_THE_COUNTESS_OF_DELLWYN_Q19902681","0.0543008598413405","0","229","0","300.3728745059889","1","0.8545735701118033","No Review & No Catalogue","0"
"286","3","QUENTIN_DURWARD_Q2469230","0.117501066676145","2","23","1","8189.981984003352","6","2.972479575245259","Review & Catalogue","1"
"445","1","THE_HERO_noWikiID","0.0477757206414661","0","230","1","2076.086452339737","5","0.9300917678898772","No Review, Catalogue","0"
"645","1","TOMMY_AND_GRIZEL_Q124090899","0.122244604531682","1","231","1","82.01515063883485","5","0.75011506563188","Review & Catalogue","1"
"291","2","RINGAN_GILHAIZE_noWikiID","0.154263355437284","0","232","1","39.34877573126442","1","0.1925","No Review, Catalogue","0"
"602","1","THE_THREE_PERILS_OF_MAN_Q96409659","0.142891468333576","2","233","1","55.91428571428572","4","0.6592526334931677","Review & Catalogue","1"
"260","3","OLD_MORTALITY_Q3234969","0.450141038132134","3","234","1","8069.7106375988715","6","1.027765368387998","Review & Catalogue","1"
"374","1","THE_BROWNIE_OF_BODSBECK_Q96408508","0.148487553986026","0","235","1","101.0176943063206","3","0.28954166666666664","No Review, Catalogue","0"
"80","2","CARMILLA_Q1043792","0.137472234822425","0","236","1","0","0","0.15","No Review, Catalogue","0"
"325","1","ST_MARTIN'S_EVE_noWikiID","0.049863479389024","1","237","1","99.88743531795002","4","0.44487021698654533","Review & Catalogue","1"
"652","2","UNCLE_SILAS_Q3835925","0.11291791638611","1","238","1","784.4253251601145","3","0.7164827294312226","Review & Catalogue","1"
"623","0","THE_WELL_AT_THE_WORLD'S_END_Q2384134","0.11291791638611","0","239","0","1816.0437169329375","3","0.3781010449459877","No Review & No Catalogue","0"
"301","2","SAINT_RONAN'S_WELL_Q3232270","0.11291791638611","2","24","1","2654.397672607004","5","1.9286902701598347","Review & Catalogue","1"
"625","1","THE_WHITE_COMPANY_noWikiID","0.11291791638611","1","240","1","1005.6236450602898","4","0.4396189071791409","Review & Catalogue","1"
"8","1","A_DREAM_OF_JOHN_BALL_noWikiID","0.117501066676145","0","241","1","1481.1475033595343","3","0.5622236776177811","No Review, Catalogue","0"
"367","1","THE_BLACK_ARROW_noWikiID","0.11291791638611","0","242","1","5312.76413578329","4","0.6924037504589868","No Review, Catalogue","0"
"535","0","THE_OLD_WIVES'_TALE_noWikiID","0.127152048513252","0","243","0","690.6525217642636","8","0.9323244269418723","No Review & No Catalogue","0"
"386","0","THE_CLAYHANGER_noWikiID","0.137472234822425","1","244","0","183.2201196270963","4","0.4231569444444444","Review, No Catalogue","1"
"276","0","PETER_THE_WHALER_noWikiID","0.117501066676145","1","245","0","15768.969583319118","3","0.5419214584571973","Review, No Catalogue","1"
