wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source
PSYCHE;['Psyche'];Storm;Theodor;noWikiID;1;Psyche;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Psyche.xml;1875;narration;textgrid
QUITT_(FONTANE);['Quitt'];Fontane;Theodor;Q1589389;6;Quitt;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Fontane_Theodor_Quitt.xml;1890;([], ['novel']);textgrid
REICH_UND_ARM;['Reich und Arm'];Felder;Franz Michael;noWikiID;1;Reich und Arm;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Felder_Franz_Michael_Reich_und_Arm.xml;1868;collection of stories;textgrid
REICHSGRAEFIN_GISELA;['ReichsgrÃ¤fin Gisela'];Marlitt;Eugenie;noWikiID;2;ReichsgrÃ¤fin  Gisela;../../marlitt/gisela/gisela.html;1869;novel;Gutenberg-DE
REISE_NACH_BRAUNSCHWEIG;['Reise nach Braunschweig'];Reuter;Fritz;noWikiID;1;Die Reise nach  Braunschweig;../../reuter/reisebr/reisebr.html;1792;novel;Gutenberg-DE
REISENOVELLEN;['Magdeburg'];Laube;Heinrich;noWikiID;2;;../../laube/reisnov1/chap003.html;1834;novella;Gutenberg-DE
REITERGESCHICHTE;['Reitergeschichte', 'Reitergeschichte nicht -'];Hofmannsthal;Hugo von;Q2142105;5;Reitergeschichte;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Hofmannsthal_Hugo_von_Reitergeschichte.xml;1899;narration;textgrid
RENATE;['Renate'];Storm;Theodor;noWikiID;2;Renate;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Renate.xml;1878;;textgrid
REQUIEM_DER_LIEBE;['Requiem der Liebe'];Saar;Ferdinand von;noWikiID;4;;http://www.zeno.org/Literatur/M/Saar,+Ferdinand+von/Erzählungen/Novellen+aus+Österreich/4.+Teil/Requiem+der+Liebe;1897;;zeno
REVOLUTION_UND_CONTREREVOLUTION;['Revolution und Contrerevolution'];Aston;Louise;noWikiID;2;Revolution und Contrerevolution;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Revolution_und_Contrerevolution.xml;1849;novel;textgrid
RINALDO_RINALDINI;['Rinaldo Rinaldini'];Vulpius;Christian August;noWikiID;4;Rinaldo Rinaldini;../../vulpius/rinaldo/rinaldo.html;1799;;Gutenberg-DE
RITTMEISTER_BRAND;['Rittmeister Brand'];Ebner-Eschenbach;Marie von;noWikiID;3;;31233;1896;;Gutenberg-US
ROBINSON_DER_JUENGERE;['Robinson der JÃ¼ngere'];Campe;Joachim Heinrich;Q42195141;2;Robinson der  JÃ¼ngere;../../campe/robinson/robinson.html;1779;(['robinsonade', 'education novel'], ['novel']);Gutenberg-DE
ROMAN_AUS_DER_DECADENCE;['Roman aus der DÃ©cadence'];Martens;Kurt;noWikiID;1;Roman aus der  DÃ©cadence;../../martens/decadenc/decadenc.html;1898;novel;Gutenberg-DE
ROSSHALDE;['RoÃŸhalde'];Hesse;Hermann;Q2171354;1;;64466;1914;([], ['novel']);Gutenberg-US
RUHE_IST_DIE_ERSTE_BUERGERPFLICHT;['Ruhe ist die erste BÃ¼rgerpflicht'];Alexis;Willibald;noWikiID;3;Ruhe ist die erste BÃ¼rgerpflicht;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Alexis_Willibald_Ruhe_ist_die_erste_BÃ¼rgerpflicht.xml;1852;;textgrid
RYNO;['Ryno'];Tieck;Ludwig;Q2178262;2;Ryno;../../tieck/ryno/ryno.html;1792;narration;Gutenberg-DE
SALY'S_REVOLUTIONSTAGE;"[""Saly's Revolutionstage""]";Hegner;Ulrich ;noWikiID;1;Saly's Revolutionstage;../../hegner/saly/saly.html;1814;;Gutenberg-DE
SANKT_THOMAS_(NOVELLE);['Sankt Thomas'];Raabe;Wilhelm;Q1499960;2;Sankt Thomas;../../raabe/stthomas/stthomas.html;1866;narration;Gutenberg-DE
SATIRISCHE_ERZAEHLUNGEN;['Satirischen ErzÃ¤hlungen'];Wezel;Johann Karl;noWikiID;1;Satirische ErzÃ¤hlungen;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wezel_Johann_Karl_Satirische_ErzÃ¤hlungen.xml;1777;collection of stories;textgrid
