;wikiname;0
296;IN_A_GLASS_DARKLY;2
297;CARMILLA;3
298;ARMADALE;3
299;NO_NAME_(NOVEL);3
300;THE_INVISIBLE_MAN;5
301;THE_VAMPYRE;4
302;THE_SORROWS_OF_SATAN;3
303;A_TALE_OF_A_TUB;6
304;OROONOKO;7
305;A_JOURNAL_OF_THE_PLAGUE_YEAR;4
306;"LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY";3
307;AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS;3
308;A_POLITICAL_ROMANCE;3
309;THE_MEMOIRS_OF_MISS_SIDNEY_BIDULPH;1
310;THE_REFORM'D_COQUET;2
311;A_MODEST_PROPOSAL;7
312;THE_HISTORY_OF_EMILY_MONTAGUE;3
313;THE_HISTORY_OF_RASSELAS,_PRINCE_OF_ABYSSINIA;1
314;LIFE_AND_ADVENTURES_OF_PETER_WILKINS;1
315;CAPTAIN_SINGLETON;2
316;THE_FEMALE_QUIXOTE;4
317;THE_ABBOT;2
318;CHRONICLES_OF_THE_CANONGATE;5
319;LONGSWORD_(NOVEL);2
320;FANNY_HILL;2
321;HYMNS_IN_PROSE_FOR_CHILDREN;4
322;THE_HAPPY_PRINCE_AND_OTHER_TALES;2
323;ODOUR_OF_CHRYSANTHEMUMS;1
324;TALES_OF_MEAN_STREETS;3
325;THE_MAN_WHO_WOULD_BE_KING;1
326;AT_THE_END_OF_THE_PASSAGE;2
327;PLAIN_TALES_FROM_THE_HILLS;3
328;THE_ALTAR_OF_THE_DEAD;1
329;THE_CANTERVILLE_GHOST;2
330;THE_BLACK_DWARF;1
331;GRANNY'S_WONDERFUL_CHAIR;2
332;THE_TURN_OF_THE_SCREW;6
333;NEW_ARABIAN_NIGHTS;1
334;THE_SECRET_GARDEN;4
335;RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER;2
336;HAUNTINGS;2
337;THE_PHANTOM_COACH;1
338;THE_LAND_IRONCLADS;1
339;THE_COUNTRY_OF_THE_BLIND;1
340;THE_NEW_ACCELERATOR;1
341;THE_MAN_WHO_COULD_WORK_MIRACLES_(SHORT_STORY);1
342;THE_WHITE_ROOM;2
343;A_ROOM_WITH_A_VIEW;2
344;JOHN_HALIFAX_GENTLEMAN;3
345;THE_CLEVER_WOMAN_OF_THE_FAMILY;1
346;A_CHILD_OF_THE_JAGO;2
347;THE_BEETLE_(NOVEL);2
348;THE_DIARY_OF_A_NOBODY;2
349;A_MERE_ACCIDENT;1
350;THE_ROMANCE_OF_A_SHOP;1
351;A_LAODICEAN;1
352;THE_LAST_DAYS_OF_POMPEII;3
353;THE_CLOISTER_AND_THE_HEARTH;2
354;CALLISTA_(NOVEL);1
355;EAST_LYNNE;6
356;ZOE;1
357;AFTER_DARK;3
358;THE_STRING_OF_PEARLS;1
359;THE_LAW_AND_THE_LADY_(NOVEL);2
360;THE_MYSTERY_OF_A_HANSOM_CAB;1
361;THE_MURDERED_COUSIN;1
362;VARNEY_THE_VAMPIRE;1
363;THE_BODY-SNATCHER;1
364;COMETH_UP_AS_A_FLOWER;3
365;MAN_AND_WIFE_(NOVEL);2
366;CATHERINE,_A_STORY;1
367;ROOKWOOD_(NOVEL);2
368;RECORDS_OF_A_GIRLHOOD;2
369;LOSS_AND_GAIN;1
370;THE_ROSE_AND_THE_RING;2
371;SUSPIRIA_DE_PROFUNDIS;2
372;THE_LUCK_OF_BARRY_LYNDON;1
373;THE_WIDOW_BARNABY;1
374;THROUGH_THE_LOOKING-GLASS;2
375;ALICE'S_ADVENTURES_IN_WONDERLAND;4
376;THE_SMALL_HOUSE_AT_ALLINGTON;1
377;THE_FIXED_PERIOD;1
378;LIFE'S_LITTLE_IRONIES;1
379;SOME_EXPERIENCES_OF_AN_IRISH_R.M.;1
380;THE_ORDEAL_OF_RICHARD_FEVEREL;2
381;PRINCE_RICARDO_OF_PANTOUFLIA;1
382;A_HOLIDAY_ROMANCE;2
383;CARROTS;1
384;BLACK_BEAUTY;3
385;THE_KING_OF_THE_GOLDEN_RIVER;2
386;THE_FAIRCHILD_FAMILY;3
387;STALKY_&_CO.;2
388;TOM_BROWN'S_SCHOOL_DAYS;6
389;AT_THE_BACK_OF_THE_NORTH_WIND;2
390;LITTLE_LORD_FAUNTLEROY;2
391;THE_TALE_OF_PETER_RABBIT;3
392;SEVEN_LITTLE_AUSTRALIANS;1
393;HOLIDAY_HOUSE;3
394;THE_HISTORY_OF_THE_FAIRCHILD_FAMILY;2
395;SILAS_MARNER;5
396;MARIUS_THE_EPICUREAN;4
397;CATRIONA;1
398;THE_CHILDREN_OF_THE_NEW_FOREST;2
399;LORNA_DOONE;1
400;UNKNOWN_TO_HISTORY;1
401;WIVES_AND_DAUGHTERS;2
402;A_RIDE_ACROSS_PALESTINE;1
403;IMAGINARY_PORTRAITS;3
404;THE_FOOD_OF_THE_GODS_AND_HOW_IT_CAME_TO_EARTH;1
405;THE_STORY_OF_MY_HEART;1
406;UNCLE_SILAS;1
407;THE_YOUNG_DUKE;1
408;STELLA_MARIS;3
409;THE_UNCLASSED;2
410;A_CRYSTAL_AGE;1
411;FLATLAND;2
412;ACROSS_THE_ZODIAC;1
413;THE_FIRST_MEN_IN_THE_MOON;3
414;ALMAYER'S_FOLLY;2
415;THE_JUNGLE_BOOK;4
416;THE_YOUNG_FUR_TRADERS;1
417;IMPRESSIONS_OF_THEOPHRASTUS_SUCH;2
418;MY_LADY_LUDLOW;1
419;THE_PORTRAIT_OF_A_LADY;2
420;THE_MUDFOG_PAPERS;1
421;THE_PRINCESS_CASAMASSIMA;3
422;THE_CONFESSIONS_OF_HARRY_LORREQUER;1
423;THE_LITTLE_MINISTER;1
424;THE_STICKIT_MINISTER;1
425;THE_ROMANY_RYE;1
426;THE_BLACK_PROPHET;4
427;GOING_TO_MAYNOOTH;1
428;DOCTOR_THORNE;1
429;THE_PROFESSOR_(NOVEL);3
430;THE_GREAT_WAR_IN_ENGLAND_IN_1897;1
431;ROMOLA;1
432;THE_RECOLLECTIONS_OF_GEOFFREY_HAMLYN;1
433;A_LADY'S_LIFE_IN_THE_ROCKY_MOUNTAINS;2
434;THE_PRIVATE_PAPERS_OF_HENRY_RYECROFT;2
435;IN_THE_YEAR_OF_JUBILEE;2
436;DE_PROFUNDIS_(LETTER);5
437;THE_INTERPRETERS;2
438;THE_HISTORY_OF_JACK_CONNOR;2
439;THE_BATTLE_OF_THE_BOOKS;4
440;THE_LIFE_OF_JOHN_BUNCLE;3
441;THE_ADVENTURES_OF_ANTHONY_VARNISH;2
442;THE_TRIUMPH_OF_PRUDENCE_OVER_PASSION;2
443;THE_KELLYS_AND_THE_O'KELLYS;1
444;AN_IRISH_COUSIN;1
445;THE_REAL_CHARLOTTE;2
446;THE_EMIGRANTS_OF_AHADARRA;1
447;FARDOROUGHA_THE_MISER;2
448;MY_NEW_CURATE;1
449;CONFESSIONS_OF_A_YOUNG_MAN;4
450;CELIBATES;1
451;THE_HOUSE_BY_THE_CHURCHYARD;2
452;THE_WIND_IN_THE_WILLOWS;3
453;KNOCKNAGOW;3
454;ODD_MAN_OUT;2
455;PETER'S_PENCE;1
456;THREE_WEEKS;3
457;THE_CRICKET_ON_THE_HEARTH;1
458;BASIL;2
459;"THE_GOVERNESS;_OR,_THE_LITTLE_FEMALE_ACADEMY";1
460;OUT_ON_THE_PAMPAS;1
461;THE_TAILOR_OF_GLOUCESTER;1
462;TWO_LITTLE_SAVAGES;1
463;TALE_OF_TWO_BAD_MICE;1
464;SING_A_SONG_OF_SIXPENCE;1
465;THE_HERO;1
466;THE_YOUNG_BUGLERS;1
467;A_LITTLE_PRINCESS;1
468;CAPTAINS_COURAGEOUS;1
469;JUST_SO_STORIES;2
470;JESSICA'S_FIRST_PRAYER;3
471;THE_PARENT'S_ASSISTANT;3
472;THE_MAN;1
473;THE_STORY_OF_THE_AMULET;1
474;THE_PHOENIX_AND_THE_CARPET;1
475;THE_HILL;1
476;A_WORLD_OF_GIRLS;2
