wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source
ERIC_OR_LITTLE_BY_LITTLE;['Eric, or, Little by Little', 'Eric, or Little by Little'];Farrar;Frederic;Q5385958;4;23126;1858;([], ['novel']);Gutenberg-US
ESTHER;['Esther'];Carey;Rosa Nouchette;noWikiID;1;6850;1887;novel;Gutenberg-US
ESTHER_WATERS;['Esther Waters'];Moore;George;Q5401319;1;8157;1894;([], ['novel']);Gutenberg-US
EUGENE_ARAM_(NOVEL);['Eugene Aram'];Bulwer-Lytton;Edward;Q16385636;1;7614;1832;(['historical fiction'], ['novel']);Gutenberg-US
EVELINA;['Evelina'];Burney;Fanny;Q1635110;54;6053;1778;(['epistolary novel'], ['novel']);Gutenberg-US
EVENINGS_AT_HOME;['Evenings at Home'];Aikin/Barbauld;John/Anna Laetitia;Q5416654;4;53323;1796;([], ['novel']);Gutenberg-US
EXILUS;"[""Exilus; or, The Banish'd Roman""]";Barker;Jane;noWikiID;1;ebooks@adelaide;1715;;ebooks@adelaide
FANNY_HILL;['Memoirs of a Woman of Pleasure'];Cleland;John;Q1395765;2;25305;1748;(['LGBT-related literature', 'erotica'], ['novel']);Gutenberg-US
FANTOMINA;['Fantomina'];Haywood;Eliza;Q5434405;1;https://digital.library.upenn.edu/women/haywood/fantomina/fantomina.html;1725;(['romantic fiction'], ['novel']);https://digital.library.upenn.edu
FAR_FROM_THE_MADDING_CROWD;['Far From the Madding Crowd', 'Far from the Madding Crowd'];Hardy;Thomas;Q5642996;5;27;1874;([], ['novel']);Gutenberg-US
FARDOROUGHA_THE_MISER;['Fardorougha the Miser'];Carleton;William;noWikiID;4;16002;1839;novel;Gutenberg-US
FELIX_HOLT_THE_RADICAL;['Felix Holt', 'Felix Holt the Radical'];Eliot;George;Q5442230;9;40882;1866;(['social novel'], ['novel']);Gutenberg-US
FIVE_CHILDREN_AND_IT;['Five Children and It'];Nesbit;Edith;noWikiID;1;778;1902;novel;Gutenberg-US
FLATLAND;['Flatland'];Abbott;Edwin Abbott;noWikiID;2;97;1884;(['science fiction', 'mathematical fiction', 'satirical fiction'], ['novella']);Gutenberg-US
FOR_THE_TERM_OF_HIS_NATURAL_LIFE;['For the Term of His Natural Life'];Clarke;Marcus;noWikiID;1;3424;1870;(['adventure novel'], []);Gutenberg-US
FORTUNATE_FOUNDLINGS;['Fortunate Foundlings'];Haywood;Eliza;noWikiID;1;10804;1744;novel;Gutenberg-US
FRANKENSTEIN;['Frankenstein', 'Frankenstein or the Modern Prometheus'];Shelley;Mary Wollstonecraft;Q150827;116;84;1818;(['epistolary novel', 'body horror literature', 'Gothic fiction', 'science fiction', 'fantasy'], ['novel']);Gutenberg-US
GHETTO_TRAGEDIES;['Ghetto Tragedies'];Zangwill;Israel;noWikiID;1;35076;1893;collection of stories;Gutenberg-US
GLENARVON;['Glenarvon'];Lamb;Caroline;Q3771960;5;"68754; 68773; 68776";1816;(['novel'], ['novel']);Gutenberg-US
GOING_TO_MAYNOOTH;['Going to Maynooth'];Carleton;William;noWikiID;1;16016;1830;collection of stories;Gutenberg-US
GRANNY'S_WONDERFUL_CHAIR;"[""Granny's Wonderful Chair""]";Browne;Frances;noWikiID;2;26018;1856;children's book;Gutenberg-US
GREAT_EXPECTATIONS;['Great Expectations', 'Pip in Great Expectations', 'Great Expectorations'];Dickens;Charles;Q219552;41;1400;1861;(['black comedy', 'Bildungsroman'], ['novel']);Gutenberg-US
GULLIVER'S_TRAVELS;"[""Gulliuer's Travels"", ""Gulliver's Travels"", 'Travels into Several Remote Nations of the World', 'Lemuel Gulliver, Travels into Several Remote Nations of the World', ""Gulliver's Travels(1726"", 'Gulliver in Lilliput', 'Gulliver']";Swift;Jonathan;Q181488;100;829;1726;(['satire', 'fantasy', 'dystopian fiction'], ['novel']);Gutenberg-US
GUY_MANNERING;['Guy Mannering'];Scott;Walter;Q2288976;12;2590;1815;(['historical novel'], []);Gutenberg-US
HALF_A_LIFE-TIME_AGO;['Half a Life-time Ago'];Gaskell;Elizabeth;noWikiID;1;2547;1855;short story;Gutenberg-US
HARD_CASH_(NOVEL);['Hard Cash'];Reade;Charles;Q30314349;5;3067;1863;(['sensation fiction'], ['novel']);Gutenberg-US
HARD_TIMES_(NOVEL);['Hard Times', 'Sissy Jupe'];Dickens;Charles;Q1340493;41;786;1854;(['social novel', 'serialized fiction'], ['novel']);Gutenberg-US
HARRINGTON;['Harrington'];Edgeworth;Maria;noWikiID;1;9107;1817;;Gutenberg-US
HAUNTINGS;['Hauntings'];Lee;Vernon;noWikiID;2;9956;1890;collection of stories;Gutenberg-US
HE_KNEW_HE_WAS_RIGHT;['He Knew He Was Right'];Trollope;Anthony;noWikiID;8;5140;1869;novel;Gutenberg-US
HEADLONG_HALL;['Headlong Hall'];Peacock;Thomas Love;Q5689829;2;12803;1816;([], ['novel']);Gutenberg-US
HEART_AND_SCIENCE;['Heart and Science'];Collins;Wilkie;noWikiID;4;7892;1882;novel;Gutenberg-US
HEART_OF_DARKNESS;['Heart of Darkness', 'Of Heart of Darkness'];Conrad;Joseph;Q129778;47;219;1899;(['fiction literature', 'serialized fiction'], ['novella']);Gutenberg-US
HELBECK_OF_BANNISDALE;['Helbeck of Bannisdale'];Ward;Mary Augusta;Q19572074;1;9442;1898;([], ['novel']);Gutenberg-US
HELEN;['Helen'];Edgeworth;Maria;noWikiID;1;8531;1834;novel;Gutenberg-US
HENRY_DUNBAR;['Henry Dunbar'];Braddon;Mary Elizabeth;noWikiID;1;9189;1864;novel;Gutenberg-US
HEREWARD_THE_WAKE_(NOVEL);['Hereward the Wake'];Kingsley;Charles;Q5738318;3;7815;1866;([], ['novel']);Gutenberg-US
HERMSPRONG;['Hermsprong'];Bage;Robert;Q5742104;1;pdf;1796;([], ['novel']);PDF
HESTER;['Hester'];Oliphant;Margaret;noWikiID;1;"48197; 48198; 48199";1883;;Gutenberg-US
HIDE_AND_SEEK;['Hide and Seek'];Collins;Wilkie;noWikiID;1;7893;1854;novel;Gutenberg-US
HISTORY_OF_JOHN_BULL;['History of John Bull'];Arbuthnot;John;noWikiID;1;2643;1712;prose satire;Gutenberg-US
HOLIDAY_HOUSE;['Holiday House'];Sinclair;Catherine;noWikiID;5;32811;1839;children's book;Gutenberg-US
HOWARDS_END;"['Howards End', ""Howard's End"", 'Leonard Bast']";Forster;E. M.;Q1146642;11;2891;1910;(['family drama'], ['novel']);Gutenberg-US
HYMNS_IN_PROSE_FOR_CHILDREN;['Hymns in Prose for Children'];Barbauld;Anna Laetitia;Q9005648;4;https://digital.library.upenn.edu/women/barbauld/hymns/hymns-in-prose.html;1781;children's book;https://digital.library.upenn.edu
IMAGINARY_PORTRAITS;['Imaginary Portraits'];Pater;Walter;noWikiID;4;2399;1887;short stories;Gutenberg-US
IMPRESSIONS_OF_THEOPHRASTUS_SUCH;['Impressions of Theophrastus Such'];Eliot;George;Q6007633;2;10762;1879;([], ['novella']);Gutenberg-US
IN_A_GLASS_DARKLY;['In a Glass Darkly'];Sheridan Le Fanu;Joseph;Q6011356;3;37174;1872;(['mystery fiction', 'Gothic literature', 'horror fiction'], ['short story collection']);Gutenberg-US
IN_THE_YEAR_OF_JUBILEE;['In the Year of Jubilee'];Gissing;George;Q19572195;2;4307;1894;([], ['novel']);Gutenberg-US
IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL);"[""It's Never Too Late"", ""It's Never Too Late to Mend"", ""It's Never Too Late To Mend"", 'It Is Never Too Late to Mend', 'It is Never Too Late to Mend']";Reade;Charles;Q6091852;7;4606;1856;([], ['novel']);Gutenberg-US
