"","id","Cluster"
"232","DIE_GUTE_SCHULE_noWikiID","Cluster 4"
"233","DIE_HANNA_noWikiID","Cluster 4"
"234","DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK_Q302229","Cluster 4"
"235","DIE_HOCHZEIT_DES_MOENCHS_Q1213463","Cluster 3"
"236","DIE_HOSEN_DES_HERRN_VON_BREDOW_noWikiID","Cluster 3"
"237","DIE_INNERSTE_Q1213605","Cluster 4"
"238","DIE_INSEL_FELSENBURG_Q1664415","Cluster 3"
"239","DIE_JUDENBUCHE_Q1213685","Cluster 4"
"240","DIE_KAESEREI_IN_DER_VEHFREUDE_noWikiID","Cluster 2"
"241","DIE_KINDER_VON_FINKENRODE_Q1213860","Cluster 4"
"242","DIE_KLEINE_STADT_Q1218726","Cluster 4"
"243","DIE_KLUGEN_JUNGFRAUEN_noWikiID","Cluster 3"
"244","DIE_KOENIGSBRAUT_noWikiID","Cluster 4"
"245","DIE_KRONENWAECHTER_Q1214104","Cluster 3"
"246","DIE_LEHRLINGE_ZU_SAIS_Q1214361","Cluster 4"
"247","DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883","Cluster 2"
"248","DIE_LETZTE_RECKENBURGERIN_noWikiID","Cluster 4"
"249","DIE_LEUTE_AUS_DEM_WALDE_Q1214404","Cluster 2"
"250","DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS_noWikiID","Cluster 2"
"251","DIE_LEUTE_VON_SELDWYLA_Q936322","Cluster 1"
"252","DIE_LIEBENSWUERDIGE_ADALIE_noWikiID","Cluster 3"
"253","DIE_MAEDCHENFEINDE_noWikiID","Cluster 4"
"254","DIE_MANDANEN-WAISE_noWikiID","Cluster 3"
"255","DIE_MARZIPANLIESE_Q1214732","Cluster 4"
"256","DIE_MEHREREN_WEHMUELLER_noWikiID","Cluster 4"
"257","DIE_MOLKENKUR_noWikiID","Cluster 4"
"258","DIE_NACHBARN_noWikiID","Cluster 4"
"259","DIE_NAECHTE_TINO_VON_BAGDADS_noWikiID","Cluster 4"
"260","DIE_NARRENBURG_Q21328513","Cluster 3"
"261","DIE_NIHILISTEN_noWikiID","Cluster 4"
"262","DIE_PFRUENDER_noWikiID","Cluster 4"
"263","DIE_POGGENPUHLS_Q1215465","Cluster 3"
"264","DIE_RICHTERIN_(NOVELLE)_Q1215781","Cluster 3"
"265","DIE_RITTER_VOM_GEISTE_noWikiID","Cluster 1"
"266","DIE_ROSE_VON_DISENTIS_noWikiID","Cluster 3"
"267","DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS_Q56071834","Cluster 3"
"268","DIE_SCHWARZE_GALEERE_noWikiID","Cluster 4"
"269","DIE_SCHWARZE_SPINNE_(NOVELLE)_Q502598","Cluster 4"
"270","DIE_SERAPIONSBRUEDER_Q321013","Cluster 2"
"271","DIE_SOEHNE_DES_SENATORS_Q1216642","Cluster 4"
"272","DIE_STEINKLOPFER_Q1216451","Cluster 4"
"273","DIE_VERLOBUNG_IN_ST._DOMINGO_noWikiID","Cluster 3"
"274","DIE_VERLORENE_HANDSCHRIFT_noWikiID","Cluster 2"
"275","DIE_VERSUCHUNG_DES_PESCARA_Q1217221","Cluster 3"
"276","DIE_VERWANDLUNG_Q184222","Cluster 4"
"277","DIE_VERWIRRUNGEN_DES_ZOEGLINGS_TOERLESS_Q1112285","Cluster 4"
"278","DIE_WAFFEN_NIEDER_Q212687","Cluster 4"
"279","DIE_WAHLVERWANDTSCHAFTEN_Q951198","Cluster 2"
"280","DIE_WASSERNOT_IM_EMMENTAL_noWikiID","Cluster 4"
"281","DIE_WEISE_VON_LIEBE_UND_TOD_DES_CORNETS_CHRISTOPH_RILKE_Q18209936","Cluster 4"
"282","DIE_WIEDERTAEUFER_noWikiID","Cluster 3"
"283","DIE_WISKOTTENS_noWikiID","Cluster 3"
"284","DIE_ZAUBEREI_IM_HERBSTE_Q1217663","Cluster 3"
"285","DIE_ZWEITE_FRAU_noWikiID","Cluster 3"
"286","DIE_ZWOELF_APOSTEL_noWikiID","Cluster 4"
"287","DIES_BUCH_GEHOERT_DEM_KOENIG_noWikiID","Cluster 4"
"288","DON_JUAN_VON_KOLOMEA_noWikiID","Cluster 4"
"289","DORFGAENGE_noWikiID","Cluster 4"
"290","DRAUSSEN_IM_HEIDEDORF_Q84314019","Cluster 4"
"291","DREI_FEDERN_Q1256990","Cluster 4"
"292","DSCHINNISTAN_Q1262121","Cluster 2"
"293","EDUARD_ALLWILLS_PAPIEREN_noWikiID","Cluster 4"
"294","EEKENHOF_noWikiID","Cluster 3"
"295","EFFI_BRIEST_Q1296168","Cluster 1"
"296","EIGENSINN_UND_LAUNE_noWikiID","Cluster 3"
"297","EIN_BEKENNTNIS_noWikiID","Cluster 4"
"298","EIN_DOPPELGAENGER_Q19188654","Cluster 1"
"299","EIN_FEST_AUF_HADERSLEVHUUS_noWikiID","Cluster 2"
"300","EIN_GRUENES_BLATT_Q111150981","Cluster 4"
"301","EIN_KAMPF_UM_ROM_Q636812","Cluster 2"
"302","EIN_KAMPF_UMS_RECHT_Q95606786","Cluster 4"
"303","EIN_WORT_noWikiID","Cluster 3"
"304","EINE_AEGYPTISCHE_KOENIGSTOCHTER_noWikiID","Cluster 4"
"305","EINE_AUSSCHWEIFUNG_noWikiID","Cluster 4"
"306","EINE_GESCHICHTE_AUS_DEM_BREGENZERWALDE_noWikiID","Cluster 2"
"307","EINE_MALERARBEIT_noWikiID","Cluster 4"
"308","EINE_STUNDE_HINTER_MITTERNACHT_Q1306645","Cluster 4"
"309","EKKEHARD_noWikiID","Cluster 3"
"310","ELEAGABAL_KUPERUS_noWikiID","Cluster 1"
"311","ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID","Cluster 4"
"312","ELLEN_VON_DER_WEIDEN_noWikiID","Cluster 3"
"313","ELLERNKLIPP_Q1332021","Cluster 3"
"314","ELSE_VON_DER_TANNE_Q1333755","Cluster 4"
"315","ELSI,_DIE_SELTSAME_MAGD_Q1333830","Cluster 4"
"316","ERINNERUNGEN_VON_LUDOLF_URSLEU_noWikiID","Cluster 3"
"317","ESCH_ODER_DIE_ANARCHIE_noWikiID","Cluster 3"
"318","EVREMONT_noWikiID","Cluster 2"
"319","FAUSTS_LEBEN,_THATEN_UND_HOELLENFAHRT_Q1368395","Cluster 4"
"320","FELICITAS_noWikiID","Cluster 2"
"321","FLEGELJAHRE_Q1299976","Cluster 3"
"322","FLORENTIN_noWikiID","Cluster 2"
"323","FLORENTINISCHE_NAECHTE_noWikiID","Cluster 4"
"324","FRAGMENT_EINES_ROMANS_noWikiID","Cluster 2"
"325","FRANZ_STERNBALDS_WANDERUNGEN_Q1449176","Cluster 3"
"326","FRAU_BEATE_UND_IHR_SOHN_Q1451452","Cluster 4"
"327","FRAU_BERTHA_GARLAN_Q1451457","Cluster 1"
"328","FRAU_JENNY_TREIBEL_Q351933","Cluster 2"
"329","FRAU_SORGE_noWikiID","Cluster 2"
"330","FRAU_VON_SAVERNE_noWikiID","Cluster 4"
"331","FREIGEBOREN_noWikiID","Cluster 2"
"332","FREIHEIT_DIE_ICH_MEINE_noWikiID","Cluster 2"
"333","FREUDEN_DES_JUNGEN_WERTHERS_Q1455757","Cluster 4"
"334","FRIDOLIN_UND_SEIN_GLUECK_noWikiID","Cluster 4"
"335","FRUEHLING_noWikiID","Cluster 3"
"336","GABRIELE_noWikiID","Cluster 2"
"337","GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS_noWikiID","Cluster 2"
"338","GELD_UND_GEIST_noWikiID","Cluster 3"
"339","GESCHICHTE_DES_AGATHON_Q1517277","Cluster 2"
"340","GESCHICHTE_DES_FRAEULEINS_VON_STERNHEIM_Q1517346","Cluster 3"
"341","GESCHICHTE_EINES_DEUTSCHEN_DER_NEUSTEN_ZEIT_noWikiID","Cluster 4"
"342","GESCHICHTE_EINES_WIENERKINDES_noWikiID","Cluster 3"
"343","GESCHICHTE_VOM_BRAVEN_KASPERL_UND_DEM_SCHOENEN_ANNERL_Q1517619","Cluster 4"
"344","GESCHICHTE_VOM_GALGENMAENNLEIN_noWikiID","Cluster 4"
"345","GESCHICHTEN_AUS_DEN_TIROLER_BERGEN_noWikiID","Cluster 4"
"346","GESCHWISTER_TANNER_Q1510146","Cluster 4"
"347","GESPRAECHE_MIT_DAEMONEN_noWikiID","Cluster 4"
"348","GIB_MICH_FREI_noWikiID","Cluster 3"
"349","GOCKEL,_HINKEL_UND_GACKELEIA_Q1478745","Cluster 3"
"350","GODWI_Q1533941","Cluster 2"
"351","GOLDELSE_(MARLITT)_Q93955765","Cluster 2"
"352","GRANDISON_DER_ZWEYTE_noWikiID","Cluster 2"
"353","GRETE_MINDE_noWikiID","Cluster 4"
"354","GRILLPARZERS_LIEBESROMAN_noWikiID","Cluster 4"
"355","GROENLAENDISCHE_PROZESSE_noWikiID","Cluster 4"
"356","GROSZMUETHIGER_FELDHERR_ARMINIUS_noWikiID","Cluster 3"
"357","GUTMANNS_REISEN_Q1557236","Cluster 4"
"358","HALBTIER_noWikiID","Cluster 4"
"359","HAMMER_UND_AMBOSS_noWikiID","Cluster 1"
"360","HANS_UND_HEINZ_KIRCH_Q1489200","Cluster 2"
"361","HASTENBECK_noWikiID","Cluster 4"
"362","HEIDI_(ROMAN)_Q271697","Cluster 4"
"363","HEINRICH_JUNG_STILLINGS_JUGEND_noWikiID","Cluster 4"
"364","HEINRICH_VON_OFTERDINGEN_Q58178849","Cluster 3"
"365","HEITERETEI_noWikiID","Cluster 4"
"366","HERMANN_VON_UNNA_noWikiID","Cluster 4"
"367","HERR_LORENZ_STARK_noWikiID","Cluster 4"
"368","HERRMANN_UND_ULRIKE_noWikiID","Cluster 2"
"369","HERRN_DAMES_AUFZEICHNUNGEN_noWikiID","Cluster 4"
"370","HESPERUS_ODER_45_HUNDPOSTTAGE_Q1527881","Cluster 3"
"371","HOEXTER_UND_CORVEY_Q1649221","Cluster 3"
"372","HOLLAENDISCHE_LIEBHABEREIEN_noWikiID","Cluster 4"
"373","HOLLINS_LIEBELEBEN_Q1624844","Cluster 4"
"374","HOMO_SUM_noWikiID","Cluster 3"
"375","HUMORISTISCHEN_SKIZZEN_AUS_DEM_DEUTSCHEN_HANDELSLEBEN_noWikiID","Cluster 4"
"376","HYPERION_(HOELDERLIN)_Q1190094","Cluster 3"
"377","IM_ALTEN_EISEN_Q1474111","Cluster 2"
"378","IM_HAUSE_DES_KOMMERZIENRATES_noWikiID","Cluster 2"
"379","IM_NACHBARHAUSE_LINKS_noWikiID","Cluster 4"
"380","IM_REICHE_DER_HOMUNKULIDEN_noWikiID","Cluster 4"
